entity,reference,name,planning-data-reference,dataset,prefix,entry-date,start-date,end-date
26,local-authority:ADU,Adur District Council,ADU,local-authority,local-authority,2025-02-19,,
27,local-authority:ALL,Allerdale Borough Council,ALL,local-authority,local-authority,2025-02-19,,2023-03-31
28,local-authority:AMB,Amber Valley Borough Council,AMB,local-authority,local-authority,2025-02-19,,
29,local-authority:ARU,Arun District Council,ARU,local-authority,local-authority,2025-02-19,,
30,local-authority:ASF,Ashford Borough Council,ASF,local-authority,local-authority,2025-02-19,,
31,local-authority:ASH,Ashfield District Council,ASH,local-authority,local-authority,2025-02-19,,
32,local-authority:AYL,Aylesbury Vale District Council,AYL,local-authority,local-authority,2025-02-19,,2020-03-31
33,local-authority:BAB,Babergh District Council,BAB,local-authority,local-authority,2025-02-19,,
34,local-authority:BAE,Bassetlaw District Council,BAE,local-authority,local-authority,2025-02-19,,
35,local-authority:BAI,Basildon Borough Council,BAI,local-authority,local-authority,2025-02-19,,
36,local-authority:BAN,Basingstoke and Deane Borough Council,BAN,local-authority,local-authority,2025-02-19,,
37,local-authority:BAR,Barrow-in-Furness Borough Council,BAR,local-authority,local-authority,2025-02-19,,2023-03-31
38,local-authority:BAS,Bath and North East Somerset Council,BAS,local-authority,local-authority,2025-02-19,1996-04-01,
39,local-authority:BBD,Blackburn with Darwen Borough Council,BBD,local-authority,local-authority,2025-02-19,1998-04-01,
40,local-authority:BDF,Bedford Borough Council,BDF,local-authority,local-authority,2025-02-19,2009-04-01,
41,local-authority:BDG,London Borough of Barking and Dagenham,BDG,local-authority,local-authority,2025-02-19,,
42,local-authority:BEN,London Borough of Brent,BEN,local-authority,local-authority,2025-02-19,,
43,local-authority:BEX,London Borough of Bexley,BEX,local-authority,local-authority,2025-02-19,,
44,local-authority:BIR,Birmingham City Council,BIR,local-authority,local-authority,2025-02-19,1986-07-01,
45,local-authority:BKM,Buckinghamshire County Council,BKM,local-authority,local-authority,2025-02-19,1905-06-19,2020-03-31
46,local-authority:BLA,Blaby District Council,BLA,local-authority,local-authority,2025-02-19,,
47,local-authority:BMH,Bournemouth Borough Council,BMH,local-authority,local-authority,2025-02-19,1905-06-19,2019-03-31
48,local-authority:BNE,London Borough of Barnet,BNE,local-authority,local-authority,2025-02-19,,
49,local-authority:BNH,Brighton and Hove City Council,BNH,local-authority,local-authority,2025-02-19,1905-06-19,
50,local-authority:BNS,Barnsley Metropolitan Borough Council,BNS,local-authority,local-authority,2025-02-19,1974-04-01,
51,local-authority:BOL,Bolton Metropolitan Borough Council,BOL,local-authority,local-authority,2025-02-19,1974-04-01,
52,local-authority:BOS,Bolsover District Council,BOS,local-authority,local-authority,2025-02-19,,
53,local-authority:BOT,Boston Borough Council,BOT,local-authority,local-authority,2025-02-19,,
54,local-authority:BPC,"Bournemouth, Christchurch and Poole Council",BPC,local-authority,local-authority,2025-02-19,2019-04-01,
55,local-authority:BPL,Blackpool Borough Council,BPL,local-authority,local-authority,2025-02-19,1905-06-20,
56,local-authority:BRA,Braintree District Council,BRA,local-authority,local-authority,2025-02-19,,
57,local-authority:BRC,Bracknell Forest Council,BRC,local-authority,local-authority,2025-02-19,1998-04-01,
58,local-authority:BRD,City of Bradford Metropolitan District Council,BRD,local-authority,local-authority,2025-02-19,1974-04-01,
59,local-authority:BRE,Breckland District Council,BRE,local-authority,local-authority,2025-02-19,,
60,local-authority:BRM,Bromsgrove District Council,BRM,local-authority,local-authority,2025-02-19,,
61,local-authority:BRO,Broadland District Council,BRO,local-authority,local-authority,2025-02-19,,
62,local-authority:BRT,Broxtowe Borough Council,BRT,local-authority,local-authority,2025-02-19,,
63,local-authority:BRW,Brentwood Borough Council,BRW,local-authority,local-authority,2025-02-19,,
64,local-authority:BRX,Broxbourne Borough Council,BRX,local-authority,local-authority,2025-02-19,,
65,local-authority:BRY,London Borough of Bromley,BRY,local-authority,local-authority,2025-02-19,,
66,local-authority:BST,Bristol City Council,BST,local-authority,local-authority,2025-02-19,1905-06-18,
67,local-authority:BUC,Buckinghamshire Council,BUC,local-authority,local-authority,2025-02-19,2020-04-01,
68,local-authority:BUN,Burnley Borough Council,BUN,local-authority,local-authority,2025-02-19,,
69,local-authority:BUR,Bury Metropolitan Borough Council,BUR,local-authority,local-authority,2025-02-19,1974-04-01,
70,local-authority:CAB,Cambridge City Council,CAB,local-authority,local-authority,2025-02-19,,
71,local-authority:CAM,Cambridgeshire County Council,CAM,local-authority,local-authority,2025-02-19,,
72,local-authority:CAN,Cannock Chase District Council,CAN,local-authority,local-authority,2025-02-19,,
73,local-authority:CAR,Carlisle City Council,CAR,local-authority,local-authority,2025-02-19,,2023-03-31
74,local-authority:CAS,Castle Point Borough Council,CAS,local-authority,local-authority,2025-02-19,,
75,local-authority:CAT,Canterbury City Council,CAT,local-authority,local-authority,2025-02-19,,
76,local-authority:CBF,Central Bedfordshire Council,CBF,local-authority,local-authority,2025-02-19,2009-04-01,
77,local-authority:CHA,Charnwood Borough Council,CHA,local-authority,local-authority,2025-02-19,,
78,local-authority:CHC,Christchurch Borough Council,CHC,local-authority,local-authority,2025-02-19,,2019-03-31
79,local-authority:CHE,Cheshire East Council,CHE,local-authority,local-authority,2025-02-19,2009-04-01,
80,local-authority:CHI,Chichester District Council,CHI,local-authority,local-authority,2025-02-19,1974-04-01,
81,local-authority:CHL,Chelmsford City Council,CHL,local-authority,local-authority,2025-02-19,,
82,local-authority:CHN,Chiltern District Council,CHN,local-authority,local-authority,2025-02-19,,2020-03-31
83,local-authority:CHO,Chorley Borough Council,CHO,local-authority,local-authority,2025-02-19,,
84,local-authority:CHR,Cherwell District Council,CHR,local-authority,local-authority,2025-02-19,,
85,local-authority:CHS,Chesterfield Borough Council,CHS,local-authority,local-authority,2025-02-19,,
86,local-authority:CHT,Cheltenham Borough Council,CHT,local-authority,local-authority,2025-02-19,,
87,local-authority:CHW,Cheshire West and Chester Council,CHW,local-authority,local-authority,2025-02-19,2009-04-01,
88,local-authority:CLD,Calderdale Metropolitan Borough Council,CLD,local-authority,local-authority,2025-02-19,1974-04-01,
89,local-authority:CMA,Cumbria County Council,CMA,local-authority,local-authority,2025-02-19,,2023-04-01
90,local-authority:CMD,London Borough of Camden,CMD,local-authority,local-authority,2025-02-19,,
91,local-authority:COL,Colchester City Council,COL,local-authority,local-authority,2025-02-19,,
92,local-authority:CON,Cornwall Council,CON,local-authority,local-authority,2025-02-19,2009-04-01,
93,local-authority:COP,Copeland Borough Council,COP,local-authority,local-authority,2025-02-19,,2023-03-31
94,local-authority:COR,Corby Borough Council,COR,local-authority,local-authority,2025-02-19,1974-04-01,2021-03-31
95,local-authority:COT,Cotswold District Council,COT,local-authority,local-authority,2025-02-19,,
96,local-authority:COV,Coventry City Council,COV,local-authority,local-authority,2025-02-19,1974-04-01,
97,local-authority:CPCA,Cambridgeshire and Peterborough Combined Authority,CPCA,local-authority,local-authority,2025-02-19,2014-04-01,
98,local-authority:CRA,Craven District Council,CRA,local-authority,local-authority,2025-02-19,,2023-03-31
99,local-authority:CRW,Crawley Borough Council,CRW,local-authority,local-authority,2025-02-19,1974-04-01,
100,local-authority:CRY,London Borough of Croydon,CRY,local-authority,local-authority,2025-02-19,1965-04-01,
101,local-authority:DAC,Dacorum Borough Council,DAC,local-authority,local-authority,2025-02-19,,
102,local-authority:DAL,Darlington Borough Council,DAL,local-authority,local-authority,2025-02-19,1997-04-01,
103,local-authority:DAR,Dartford Borough Council,DAR,local-authority,local-authority,2025-02-19,,
104,local-authority:DAV,Daventry District Council,DAV,local-authority,local-authority,2025-02-19,1974-04-01,2021-03-31
105,local-authority:DBY,Derbyshire County Council,DBY,local-authority,local-authority,2025-02-19,,
106,local-authority:DEB,Derbyshire Dales District Council,DEB,local-authority,local-authority,2025-02-19,,
107,local-authority:DER,Derby City Council,DER,local-authority,local-authority,2025-02-19,,
108,local-authority:DEV,Devon County Council,DEV,local-authority,local-authority,2025-02-19,,
109,local-authority:DNC,Doncaster Metropolitan Borough Council,DNC,local-authority,local-authority,2025-02-19,1974-04-01,
110,local-authority:DOR,Dorset County Council,DOR,local-authority,local-authority,2025-02-19,,2019-03-31
111,local-authority:DOV,Dover District Council,DOV,local-authority,local-authority,2025-02-19,,
112,local-authority:DST,Dorset Council,DST,local-authority,local-authority,2025-02-19,2019-04-01,
113,local-authority:DUD,Dudley Metropolitan Borough Council,DUD,local-authority,local-authority,2025-02-19,1974-04-01,
114,local-authority:DUR,Durham County Council,DUR,local-authority,local-authority,2025-02-19,2009-04-01,
115,local-authority:EAL,London Borough of Ealing,EAL,local-authority,local-authority,2025-02-19,,
116,local-authority:EAS,Eastbourne Borough Council,EAS,local-authority,local-authority,2025-02-19,,
117,local-authority:EAT,Eastleigh Borough Council,EAT,local-authority,local-authority,2025-02-19,,
118,local-authority:ECA,East Cambridgeshire District Council,ECA,local-authority,local-authority,2025-02-19,,
119,local-authority:EDE,East Devon District Council,EDE,local-authority,local-authority,2025-02-19,,
120,local-authority:EDN,Eden District Council,EDN,local-authority,local-authority,2025-02-19,,2023-03-31
121,local-authority:EDO,East Dorset District Council,EDO,local-authority,local-authority,2025-02-19,1974-04-01,2019-03-31
122,local-authority:EHA,East Hampshire District Council,EHA,local-authority,local-authority,2025-02-19,,
123,local-authority:EHE,East Hertfordshire District Council,EHE,local-authority,local-authority,2025-02-19,,
124,local-authority:ELI,East Lindsey District Council,ELI,local-authority,local-authority,2025-02-19,,
125,local-authority:ELM,Elmbridge Borough Council,ELM,local-authority,local-authority,2025-02-19,,
126,local-authority:ENF,London Borough of Enfield,ENF,local-authority,local-authority,2025-02-19,1965-04-01,
127,local-authority:ENO,East Northamptonshire Council,ENO,local-authority,local-authority,2025-02-19,1974-04-01,2021-03-31
128,local-authority:EPP,Epping Forest District Council,EPP,local-authority,local-authority,2025-02-19,,
129,local-authority:EPS,Epsom and Ewell Borough Council,EPS,local-authority,local-authority,2025-02-19,,
130,local-authority:ERE,Erewash Borough Council,ERE,local-authority,local-authority,2025-02-19,,
131,local-authority:ERY,East Riding of Yorkshire Council,ERY,local-authority,local-authority,2025-02-19,1996-04-01,
132,local-authority:ESK,East Suffolk Council,ESK,local-authority,local-authority,2025-02-19,2019-04-01,
133,local-authority:ESS,Essex County Council,ESS,local-authority,local-authority,2025-02-19,,
134,local-authority:EST,East Staffordshire Borough Council,EST,local-authority,local-authority,2025-02-19,,
135,local-authority:ESX,East Sussex County Council,ESX,local-authority,local-authority,2025-02-19,,
136,local-authority:EXE,Exeter City Council,EXE,local-authority,local-authority,2025-02-19,,
137,local-authority:FAR,Fareham Borough Council,FAR,local-authority,local-authority,2025-02-19,,
138,local-authority:FEN,Fenland District Council,FEN,local-authority,local-authority,2025-02-19,,
139,local-authority:FOE,Forest of Dean District Council,FOE,local-authority,local-authority,2025-02-19,,
140,local-authority:FOR,Forest Heath District Council,FOR,local-authority,local-authority,2025-02-19,1974-04-01,2019-03-31
141,local-authority:FYL,Fylde Borough Council,FYL,local-authority,local-authority,2025-02-19,,
142,local-authority:GAT,Gateshead Metropolitan Borough Council,GAT,local-authority,local-authority,2025-02-19,1974-04-01,
143,local-authority:GED,Gedling Borough Council,GED,local-authority,local-authority,2025-02-19,,
144,local-authority:GLA,Greater London Authority,GLA,local-authority,local-authority,2025-02-19,1905-06-22,
145,local-authority:GLO,Gloucester City Council,GLO,local-authority,local-authority,2025-02-19,,
146,local-authority:GLS,Gloucestershire County Council,GLS,local-authority,local-authority,2025-02-19,,
147,local-authority:GMCA,Greater Manchester Combined Authority,GMCA,local-authority,local-authority,2025-02-19,2014-04-01,
148,local-authority:GOS,Gosport Borough Council,GOS,local-authority,local-authority,2025-02-19,,
149,local-authority:GRA,Gravesham Borough Council,GRA,local-authority,local-authority,2025-02-19,,
150,local-authority:GRE,Royal Borough of Greenwich,GRE,local-authority,local-authority,2025-02-19,,
151,local-authority:GRT,Guildford Borough Council,GRT,local-authority,local-authority,2025-02-19,,
152,local-authority:GRY,Great Yarmouth Borough Council,GRY,local-authority,local-authority,2025-02-19,,
153,local-authority:HAA,Havant Borough Council,HAA,local-authority,local-authority,2025-02-19,,
154,local-authority:HAE,Hambleton District Council,HAE,local-authority,local-authority,2025-02-19,,2023-03-31
155,local-authority:HAG,Harrogate Borough Council,HAG,local-authority,local-authority,2025-02-19,,2023-03-31
156,local-authority:HAL,Halton Borough Council,HAL,local-authority,local-authority,2025-02-19,1998-04-01,
157,local-authority:HAM,Hampshire County Council,HAM,local-authority,local-authority,2025-02-19,,
158,local-authority:HAO,Harborough District Council,HAO,local-authority,local-authority,2025-02-19,,
159,local-authority:HAR,Harlow District Council,HAR,local-authority,local-authority,2025-02-19,,
160,local-authority:HAS,Hastings Borough Council,HAS,local-authority,local-authority,2025-02-19,,
161,local-authority:HAT,Hart District Council,HAT,local-authority,local-authority,2025-02-19,,
162,local-authority:HAV,London Borough of Havering,HAV,local-authority,local-authority,2025-02-19,,
163,local-authority:HCK,London Borough of Hackney,HCK,local-authority,local-authority,2025-02-19,,
164,local-authority:HEF,Herefordshire Council,HEF,local-authority,local-authority,2025-02-19,1998-04-01,
165,local-authority:HER,Hertsmere Borough Council,HER,local-authority,local-authority,2025-02-19,,
166,local-authority:HIG,High Peak Borough Council,HIG,local-authority,local-authority,2025-02-19,,
167,local-authority:HIL,London Borough of Hillingdon,HIL,local-authority,local-authority,2025-02-19,,
168,local-authority:HIN,Hinckley and Bosworth Borough Council,HIN,local-authority,local-authority,2025-02-19,,
169,local-authority:HMF,London Borough of Hammersmith & Fulham,HMF,local-authority,local-authority,2025-02-19,,
170,local-authority:HNS,London Borough of Hounslow,HNS,local-authority,local-authority,2025-02-19,,
171,local-authority:HOR,Horsham District Council,HOR,local-authority,local-authority,2025-02-19,1974-04-01,
172,local-authority:HPL,Hartlepool Borough Council,HPL,local-authority,local-authority,2025-02-19,1905-06-18,
173,local-authority:HRT,Hertfordshire County Council,HRT,local-authority,local-authority,2025-02-19,,
174,local-authority:HRW,London Borough of Harrow,HRW,local-authority,local-authority,2025-02-19,,
175,local-authority:HRY,London Borough of Haringey,HRY,local-authority,local-authority,2025-02-19,1965-04-01,
176,local-authority:HUN,Huntingdonshire District Council,HUN,local-authority,local-authority,2025-02-19,,
177,local-authority:HYN,Hyndburn Borough Council,HYN,local-authority,local-authority,2025-02-19,,
178,local-authority:IOS,Council of the Isles of Scilly,IOS,local-authority,local-authority,2025-02-19,1974-04-01,
179,local-authority:IOW,Isle of Wight Council,IOW,local-authority,local-authority,2025-02-19,1905-06-17,
180,local-authority:IPS,Ipswich Borough Council,IPS,local-authority,local-authority,2025-02-19,,
181,local-authority:ISL,London Borough of Islington,ISL,local-authority,local-authority,2025-02-19,,
182,local-authority:KEC,Royal Borough of Kensington and Chelsea,KEC,local-authority,local-authority,2025-02-19,,
183,local-authority:KEN,Kent County Council,KEN,local-authority,local-authority,2025-02-19,,
184,local-authority:KET,Kettering Borough Council,KET,local-authority,local-authority,2025-02-19,1974-04-01,2021-03-31
185,local-authority:KHL,Hull City Council,KHL,local-authority,local-authority,2025-02-19,1996-04-01,
186,local-authority:KIN,Borough Council of King's Lynn and West Norfolk,KIN,local-authority,local-authority,2025-02-19,,
187,local-authority:KIR,Kirklees Council,KIR,local-authority,local-authority,2025-02-19,1974-04-01,
188,local-authority:KTT,Royal Borough of Kingston upon Thames,KTT,local-authority,local-authority,2025-02-19,,
189,local-authority:KWL,Knowsley Metropolitan Borough Council,KWL,local-authority,local-authority,2025-02-19,1974-04-01,
190,local-authority:LAC,Lancaster City Council,LAC,local-authority,local-authority,2025-02-19,,
191,local-authority:LAN,Lancashire County Council,LAN,local-authority,local-authority,2025-02-19,,
192,local-authority:LBH,London Borough of Lambeth,LBH,local-authority,local-authority,2025-02-19,,
193,local-authority:LCE,Leicester City Council,LCE,local-authority,local-authority,2025-02-19,1905-06-19,
194,local-authority:LCR,Liverpool City Region,LCR,local-authority,local-authority,2025-02-19,2014-04-01,
195,local-authority:LDS,Leeds City Council,LDS,local-authority,local-authority,2025-02-19,1905-06-08,
196,local-authority:LEC,Leicestershire County Council,LEC,local-authority,local-authority,2025-02-19,1889-01-01,
197,local-authority:LEE,Lewes District Council,LEE,local-authority,local-authority,2025-02-19,,
198,local-authority:LEW,London Borough of Lewisham,LEW,local-authority,local-authority,2025-02-19,,
199,local-authority:LIC,City of Lincoln Council,LIC,local-authority,local-authority,2025-02-19,,
200,local-authority:LIF,Lichfield District Council,LIF,local-authority,local-authority,2025-02-19,,
201,local-authority:LIN,Lincolnshire County Council,LIN,local-authority,local-authority,2025-02-19,,
202,local-authority:LIV,Liverpool City Council,LIV,local-authority,local-authority,2025-02-19,1905-06-08,
203,local-authority:LND,City of London Corporation,LND,local-authority,local-authority,2025-02-19,1905-06-28,
204,local-authority:LUT,Luton Borough Council,LUT,local-authority,local-authority,2025-02-19,1905-06-19,
205,local-authority:MAI,Maidstone Borough Council,MAI,local-authority,local-authority,2025-02-19,,
206,local-authority:MAL,Maldon District Council,MAL,local-authority,local-authority,2025-02-19,,
207,local-authority:MAN,Manchester City Council,MAN,local-authority,local-authority,2025-02-19,1974-04-01,
208,local-authority:MAS,Mansfield District Council,MAS,local-authority,local-authority,2025-02-19,,
209,local-authority:MAV,Malvern Hills District Council,MAV,local-authority,local-authority,2025-02-19,,
210,local-authority:MDB,Middlesbrough Borough Council,MDB,local-authority,local-authority,2025-02-19,1905-06-18,
211,local-authority:MDE,Mid Devon District Council,MDE,local-authority,local-authority,2025-02-19,,
212,local-authority:MDW,Medway Council,MDW,local-authority,local-authority,2025-02-19,1998-04-01,
213,local-authority:MEL,Melton Borough Council,MEL,local-authority,local-authority,2025-02-19,,
214,local-authority:MEN,Mendip District Council,MEN,local-authority,local-authority,2025-02-19,,2023-03-31
215,local-authority:MIK,Milton Keynes City Council,MIK,local-authority,local-authority,2025-02-19,1905-06-19,
216,local-authority:MOL,Mole Valley District Council,MOL,local-authority,local-authority,2025-02-19,,
217,local-authority:MRT,London Borough of Merton,MRT,local-authority,local-authority,2025-02-19,,
218,local-authority:MSS,Mid Sussex District Council,MSS,local-authority,local-authority,2025-02-19,1974-04-01,
219,local-authority:MSU,Mid Suffolk District Council,MSU,local-authority,local-authority,2025-02-19,,
220,local-authority:NBL,Northumberland County Council,NBL,local-authority,local-authority,2025-02-19,2009-04-01,
221,local-authority:NDE,North Devon District Council,NDE,local-authority,local-authority,2025-02-19,,
222,local-authority:NDO,North Dorset District Council,NDO,local-authority,local-authority,2025-02-19,,2019-03-31
223,local-authority:NEA,Newark and Sherwood District Council,NEA,local-authority,local-authority,2025-02-19,,
224,local-authority:NEC,Newcastle-under-Lyme Borough Council,NEC,local-authority,local-authority,2025-02-19,,
225,local-authority:NECA,North East Combined Authority,NECA,local-authority,local-authority,2025-02-19,2014-04-15,2024-05-06
226,local-authority:NED,North East Derbyshire District Council,NED,local-authority,local-authority,2025-02-19,,
227,local-authority:NEL,North East Lincolnshire Council,NEL,local-authority,local-authority,2025-02-19,1996-04-01,
228,local-authority:NET,Newcastle City Council,NET,local-authority,local-authority,2025-02-19,1974-04-01,
229,local-authority:NEW,New Forest District Council,NEW,local-authority,local-authority,2025-02-19,,
230,local-authority:NFK,Norfolk County Council,NFK,local-authority,local-authority,2025-02-19,,
231,local-authority:NGM,Nottingham City Council,NGM,local-authority,local-authority,2025-02-19,1905-06-20,
232,local-authority:NHE,North Hertfordshire District Council,NHE,local-authority,local-authority,2025-02-19,,
233,local-authority:NKE,North Kesteven District Council,NKE,local-authority,local-authority,2025-02-19,,
234,local-authority:NLN,North Lincolnshire Council,NLN,local-authority,local-authority,2025-02-19,1996-04-01,
235,local-authority:NNO,North Norfolk District Council,NNO,local-authority,local-authority,2025-02-19,,
236,local-authority:NOR,Northampton Borough Council,NOR,local-authority,local-authority,2025-02-19,1974-04-01,2020-03-31
237,local-authority:NOW,Norwich City Council,NOW,local-authority,local-authority,2025-02-19,,
238,local-authority:NSM,North Somerset Council,NSM,local-authority,local-authority,2025-02-19,1996-04-01,
239,local-authority:NTCA,North of Tyne Combined Authority,NTCA,local-authority,local-authority,2025-02-19,2018-11-02,2024-05-07
240,local-authority:NTH,Northamptonshire County Council,NTH,local-authority,local-authority,2025-02-19,1974-04-01,2021-03-31
241,local-authority:NTT,Nottinghamshire County Council,NTT,local-authority,local-authority,2025-02-19,1937-01-01,
242,local-authority:NTY,North Tyneside Council,NTY,local-authority,local-authority,2025-02-19,1974-04-01,
243,local-authority:NUN,Nuneaton and Bedworth Borough Council,NUN,local-authority,local-authority,2025-02-19,,
244,local-authority:NWA,North Warwickshire Borough Council,NWA,local-authority,local-authority,2025-02-19,,
245,local-authority:NWL,North West Leicestershire District Council,NWL,local-authority,local-authority,2025-02-19,,
246,local-authority:NWM,London Borough of Newham,NWM,local-authority,local-authority,2025-02-19,,
247,local-authority:NYK,North Yorkshire County Council,NYK,local-authority,local-authority,2025-02-19,,2023-03-31
248,local-authority:OAD,Oadby and Wigston Borough Council,OAD,local-authority,local-authority,2025-02-19,,
249,local-authority:OLD,Oldham Metropolitan Borough Council,OLD,local-authority,local-authority,2025-02-19,1905-06-07,
250,local-authority:OXF,Oxfordshire County Council,OXF,local-authority,local-authority,2025-02-19,,
251,local-authority:OXO,Oxford City Council,OXO,local-authority,local-authority,2025-02-19,,
252,local-authority:PEN,Pendle Borough Council,PEN,local-authority,local-authority,2025-02-19,,
253,local-authority:PLY,Plymouth City Council,PLY,local-authority,local-authority,2025-02-19,1998-04-01,
254,local-authority:POL,Borough of Poole,POL,local-authority,local-authority,2025-02-19,1997-04-01,2019-03-31
255,local-authority:POR,Portsmouth City Council,POR,local-authority,local-authority,2025-02-19,1905-06-20,
256,local-authority:PRE,Preston City Council,PRE,local-authority,local-authority,2025-02-19,,
257,local-authority:PTE,Peterborough City Council,PTE,local-authority,local-authority,2025-02-19,1905-06-20,
258,local-authority:PUR,Purbeck District Council,PUR,local-authority,local-authority,2025-02-19,,2019-03-31
259,local-authority:RCC,Redcar and Cleveland Borough Council,RCC,local-authority,local-authority,2025-02-19,1996-04-01,
260,local-authority:RCH,Rochdale Metropolitan Borough Council,RCH,local-authority,local-authority,2025-02-19,1905-05-27,
261,local-authority:RDB,London Borough of Redbridge,RDB,local-authority,local-authority,2025-02-19,,
262,local-authority:RDG,Reading Borough Council,RDG,local-authority,local-authority,2025-02-19,1905-05-27,
263,local-authority:RED,Redditch Borough Council,RED,local-authority,local-authority,2025-02-19,,
264,local-authority:REI,Reigate and Banstead Borough Council,REI,local-authority,local-authority,2025-02-19,,
