entity,reference,name,planning-data-reference,dataset,prefix,entry-date,start-date,end-date
265,local-authority:RIB,Ribble Valley Borough Council,RIB,local-authority,local-authority,2025-02-19,,
266,local-authority:RIC,London Borough of Richmond upon Thames,RIC,local-authority,local-authority,2025-02-19,,
267,local-authority:RIH,Richmondshire District Council,RIH,local-authority,local-authority,2025-02-19,,2023-03-31
268,local-authority:ROC,Rochford District Council,ROC,local-authority,local-authority,2025-02-19,,
269,local-authority:ROH,Rother District Council,ROH,local-authority,local-authority,2025-02-19,,
270,local-authority:ROS,Rossendale Borough Council,ROS,local-authority,local-authority,2025-02-19,,
271,local-authority:ROT,Rotherham Metropolitan Borough Council,ROT,local-authority,local-authority,2025-02-19,1905-05-27,
272,local-authority:RUG,Rugby Borough Council,RUG,local-authority,local-authority,2025-02-19,,
273,local-authority:RUH,Rushmoor Borough Council,RUH,local-authority,local-authority,2025-02-19,,
274,local-authority:RUN,Runnymede Borough Council,RUN,local-authority,local-authority,2025-02-19,,
275,local-authority:RUS,Rushcliffe Borough Council,RUS,local-authority,local-authority,2025-02-19,,
276,local-authority:RUT,Rutland County Council,RUT,local-authority,local-authority,2025-02-19,1997-04-01,
277,local-authority:RYE,Ryedale District Council,RYE,local-authority,local-authority,2025-02-19,,2023-03-31
278,local-authority:SAL,St Albans City and District Council,SAL,local-authority,local-authority,2025-02-19,1974-04-01,
279,local-authority:SAW,Sandwell Metropolitan Borough Council,SAW,local-authority,local-authority,2025-02-19,1905-06-07,
280,local-authority:SBU,South Bucks District Council,SBU,local-authority,local-authority,2025-02-19,,2020-03-31
281,local-authority:SCA,South Cambridgeshire District Council,SCA,local-authority,local-authority,2025-02-19,,
282,local-authority:SCE,Scarborough Borough Council,SCE,local-authority,local-authority,2025-02-19,,2023-03-31
283,local-authority:SYMCA,South Yorkshire Mayoral Combined Authority,SYMCA,local-authority,local-authority,2025-02-19,2018-05-03,
284,local-authority:SDE,South Derbyshire District Council,SDE,local-authority,local-authority,2025-02-19,,
285,local-authority:SED,St Edmundsbury Borough Council,SED,local-authority,local-authority,2025-02-19,,2019-03-31
286,local-authority:SEG,Sedgemoor District Council,SEG,local-authority,local-authority,2025-02-19,,2023-03-31
287,local-authority:SEL,Selby District Council,SEL,local-authority,local-authority,2025-02-19,,2023-03-31
288,local-authority:SEV,Sevenoaks District Council,SEV,local-authority,local-authority,2025-02-19,,
289,local-authority:SFK,Suffolk County Council,SFK,local-authority,local-authority,2025-02-19,,
290,local-authority:SFT,Sefton Metropolitan Borough Council,SFT,local-authority,local-authority,2025-02-19,1905-06-08,
291,local-authority:SGC,South Gloucestershire Council,SGC,local-authority,local-authority,2025-02-19,1905-06-18,
292,local-authority:SHA,South Hams District Council,SHA,local-authority,local-authority,2025-02-19,,
293,local-authority:SHE,Folkestone and Hythe Council,SHE,local-authority,local-authority,2025-02-19,,
294,local-authority:SHF,Sheffield City Council,SHF,local-authority,local-authority,2025-02-19,1905-06-08,
295,local-authority:SHN,St Helens Council,SHN,local-authority,local-authority,2025-02-19,1905-06-08,
296,local-authority:SHO,South Holland District Council,SHO,local-authority,local-authority,2025-02-19,,
297,local-authority:SHR,Shropshire Council,SHR,local-authority,local-authority,2025-02-19,2009-04-01,
298,local-authority:SKE,South Kesteven District Council,SKE,local-authority,local-authority,2025-02-19,,
299,local-authority:SKP,Stockport Metropolitan Borough Council,SKP,local-authority,local-authority,2025-02-19,1905-05-27,
300,local-authority:SLA,South Lakeland District Council,SLA,local-authority,local-authority,2025-02-19,,2023-03-31
301,local-authority:SLF,Salford City Council,SLF,local-authority,local-authority,2025-02-19,1905-05-27,
302,local-authority:SLG,Slough Borough Council,SLG,local-authority,local-authority,2025-02-19,1998-04-01,
303,local-authority:SND,Sunderland City Council,SND,local-authority,local-authority,2025-02-19,1905-05-27,
304,local-authority:SNO,South Norfolk District Council,SNO,local-authority,local-authority,2025-02-19,,
305,local-authority:SNR,South Northamptonshire Council,SNR,local-authority,local-authority,2025-02-19,1974-04-01,2021-03-31
306,local-authority:SOL,Solihull Metropolitan Borough Council,SOL,local-authority,local-authority,2025-02-19,1905-05-27,
307,local-authority:SOM,Somerset County Council,SOM,local-authority,local-authority,2025-02-19,,2023-03-31
308,local-authority:SOS,Southend-on-Sea Borough Council,SOS,local-authority,local-authority,2025-02-19,1905-06-20,
309,local-authority:SOX,South Oxfordshire District Council,SOX,local-authority,local-authority,2025-02-19,,
310,local-authority:SPE,Spelthorne Borough Council,SPE,local-authority,local-authority,2025-02-19,,
311,local-authority:SRI,South Ribble Borough Council,SRI,local-authority,local-authority,2025-02-19,,
312,local-authority:SRY,Surrey County Council,SRY,local-authority,local-authority,2025-02-19,,
313,local-authority:SSO,South Somerset District Council,SSO,local-authority,local-authority,2025-02-19,,2023-03-31
314,local-authority:SST,South Staffordshire Council,SST,local-authority,local-authority,2025-02-19,,
315,local-authority:STA,Stafford Borough Council,STA,local-authority,local-authority,2025-02-19,,
316,local-authority:STE,Stoke-on-Trent City Council,STE,local-authority,local-authority,2025-02-19,1905-06-20,
317,local-authority:STF,Staffordshire Moorlands District Council,STF,local-authority,local-authority,2025-02-19,,
318,local-authority:STH,Southampton City Council,STH,local-authority,local-authority,2025-02-19,1905-06-19,
319,local-authority:STN,London Borough of Sutton,STN,local-authority,local-authority,2025-02-19,,
320,local-authority:STO,Stroud District Council,STO,local-authority,local-authority,2025-02-19,,
321,local-authority:STR,Stratford-on-Avon District Council,STR,local-authority,local-authority,2025-02-19,,
322,local-authority:STS,Staffordshire County Council,STS,local-authority,local-authority,2025-02-19,,
323,local-authority:STT,Stockton-on-Tees Borough Council,STT,local-authority,local-authority,2025-02-19,1905-06-18,
324,local-authority:STV,Stevenage Borough Council,STV,local-authority,local-authority,2025-02-19,,
325,local-authority:STY,South Tyneside Council,STY,local-authority,local-authority,2025-02-19,1974-04-01,
326,local-authority:SUF,Suffolk Coastal District Council,SUF,local-authority,local-authority,2025-02-19,,2019-03-31
327,local-authority:SUR,Surrey Heath Borough Council,SUR,local-authority,local-authority,2025-02-19,,
328,local-authority:SWD,Swindon Borough Council,SWD,local-authority,local-authority,2025-02-19,1905-06-20,
329,local-authority:SWK,London Borough of Southwark,SWK,local-authority,local-authority,2025-02-19,,
330,local-authority:SWL,Swale Borough Council,SWL,local-authority,local-authority,2025-02-19,,
331,local-authority:SWT,Somerset West and Taunton Council,SWT,local-authority,local-authority,2025-02-19,2019-04-01,2023-03-31
332,local-authority:TAM,Tameside Metropolitan Borough Council,TAM,local-authority,local-authority,2025-02-19,1974-04-01,
333,local-authority:TAN,Tandridge District Council,TAN,local-authority,local-authority,2025-02-19,,
334,local-authority:TAU,Taunton Deane Borough Council,TAU,local-authority,local-authority,2025-02-19,,2019-03-31
335,local-authority:TAW,Tamworth Borough Council,TAW,local-authority,local-authority,2025-02-19,,
336,local-authority:TEI,Teignbridge District Council,TEI,local-authority,local-authority,2025-02-19,,
337,local-authority:TEN,Tendring District Council,TEN,local-authority,local-authority,2025-02-19,,
338,local-authority:TES,Test Valley Borough Council,TES,local-authority,local-authority,2025-02-19,,
339,local-authority:TEW,Tewkesbury Borough Council,TEW,local-authority,local-authority,2025-02-19,,
340,local-authority:TFW,Telford & Wrekin Council,TFW,local-authority,local-authority,2025-02-19,1905-06-20,
341,local-authority:THA,Thanet District Council,THA,local-authority,local-authority,2025-02-19,,
342,local-authority:THE,Three Rivers District Council,THE,local-authority,local-authority,2025-02-19,1974-04-01,
343,local-authority:THR,Thurrock Council,THR,local-authority,local-authority,2025-02-19,1905-06-20,
344,local-authority:TOB,Torbay Council,TOB,local-authority,local-authority,2025-02-19,1905-06-20,
345,local-authority:TON,Tonbridge and Malling Borough Council,TON,local-authority,local-authority,2025-02-19,,
346,local-authority:TOR,Torridge District Council,TOR,local-authority,local-authority,2025-02-19,,
347,local-authority:TRF,Trafford Metropolitan Borough Council,TRF,local-authority,local-authority,2025-02-19,1974-04-01,
348,local-authority:TUN,Tunbridge Wells Borough Council,TUN,local-authority,local-authority,2025-02-19,,
349,local-authority:TVCA,Tees Valley Combined Authority,TVCA,local-authority,local-authority,2025-02-19,2014-04-01,
350,local-authority:TWH,London Borough of Tower Hamlets,TWH,local-authority,local-authority,2025-02-19,,
351,local-authority:UTT,Uttlesford District Council,UTT,local-authority,local-authority,2025-02-19,,
352,local-authority:VAL,Vale of White Horse District Council,VAL,local-authority,local-authority,2025-02-19,,
353,local-authority:WAE,Waverley Borough Council,WAE,local-authority,local-authority,2025-02-19,,
354,local-authority:WAR,Warwickshire County Council,WAR,local-authority,local-authority,2025-02-19,,
355,local-authority:WAT,Watford Borough Council,WAT,local-authority,local-authority,2025-02-19,,
356,local-authority:WAV,Waveney District Council,WAV,local-authority,local-authority,2025-02-19,,2019-03-31
357,local-authority:WAW,Warwick District Council,WAW,local-authority,local-authority,2025-02-19,,
358,local-authority:WBK,West Berkshire Council,WBK,local-authority,local-authority,2025-02-19,1905-06-20,
359,local-authority:WDE,West Devon Borough Council,WDE,local-authority,local-authority,2025-02-19,,
360,local-authority:WDO,West Dorset District Council,WDO,local-authority,local-authority,2025-02-19,,2019-03-31
361,local-authority:WEA,Wealden District Council,WEA,local-authority,local-authority,2025-02-19,,
362,local-authority:WECA,West of England Combined Authority,WECA,local-authority,local-authority,2025-02-19,2017-02-09,
363,local-authority:WEL,Wellingborough Borough Council,WEL,local-authority,local-authority,2025-02-19,1974-04-01,2021-03-31
364,local-authority:WEW,Welwyn Hatfield Borough Council,WEW,local-authority,local-authority,2025-02-19,,
365,local-authority:WEY,Weymouth and Portland Borough Council,WEY,local-authority,local-authority,2025-02-19,,2019-03-31
366,local-authority:WFT,London Borough of Waltham Forest,WFT,local-authority,local-authority,2025-02-19,,
367,local-authority:WGN,Wigan Metropolitan Borough Council,WGN,local-authority,local-authority,2025-02-19,1974-04-01,
368,local-authority:WIL,Wiltshire Council,WIL,local-authority,local-authority,2025-02-19,2009-04-01,
369,local-authority:WIN,Winchester City Council,WIN,local-authority,local-authority,2025-02-19,,
370,local-authority:WKF,Wakefield Metropolitan District Council,WKF,local-authority,local-authority,2025-02-19,1974-04-01,
371,local-authority:WLA,West Lancashire Borough Council,WLA,local-authority,local-authority,2025-02-19,,
372,local-authority:WLI,West Lindsey District Council,WLI,local-authority,local-authority,2025-02-19,,
373,local-authority:WLL,Walsall Metropolitan Borough Council,WLL,local-authority,local-authority,2025-02-19,1974-04-01,
374,local-authority:WLV,City of Wolverhampton Council,WLV,local-authority,local-authority,2025-02-19,1974-04-01,
375,local-authority:WMCA,West Midlands Combined Authority,WMCA,local-authority,local-authority,2025-02-19,2016-06-17,
376,local-authority:WND,London Borough of Wandsworth,WND,local-authority,local-authority,2025-02-19,,
377,local-authority:WNM,Royal Borough of Windsor and Maidenhead,WNM,local-authority,local-authority,2025-02-19,1905-06-20,
378,local-authority:WOC,Worcester City Council,WOC,local-authority,local-authority,2025-02-19,,
379,local-authority:WOI,Woking Borough Council,WOI,local-authority,local-authority,2025-02-19,,
380,local-authority:WOK,Wokingham Borough Council,WOK,local-authority,local-authority,2025-02-19,1905-06-20,
381,local-authority:WOR,Worcestershire County Council,WOR,local-authority,local-authority,2025-02-19,,
382,local-authority:WOT,Worthing Borough Council,WOT,local-authority,local-authority,2025-02-19,1905-06-25,
383,local-authority:WOX,West Oxfordshire District Council,WOX,local-authority,local-authority,2025-02-19,,
384,local-authority:WRL,Wirral Borough Council,WRL,local-authority,local-authority,2025-02-19,1974-04-01,
385,local-authority:WRT,Warrington Borough Council,WRT,local-authority,local-authority,2025-02-19,1905-06-20,
386,local-authority:WSK,West Suffolk Council,WSK,local-authority,local-authority,2025-02-19,2019-04-01,
387,local-authority:WSM,City of Westminster,WSM,local-authority,local-authority,2025-02-19,,
388,local-authority:WSO,West Somerset District Council,WSO,local-authority,local-authority,2025-02-19,,2019-03-31
389,local-authority:WSX,West Sussex County Council,WSX,local-authority,local-authority,2025-02-19,,
390,local-authority:WYC,Wychavon District Council,WYC,local-authority,local-authority,2025-02-19,,
391,local-authority:WYCA,West Yorkshire Combined Authority,WYCA,local-authority,local-authority,2025-02-19,2014-04-01,
392,local-authority:WYE,Wyre Forest District Council,WYE,local-authority,local-authority,2025-02-19,,
393,local-authority:WYO,Wycombe District Council,WYO,local-authority,local-authority,2025-02-19,,2020-03-31
394,local-authority:WYR,Wyre Borough Council,WYR,local-authority,local-authority,2025-02-19,,
395,local-authority:YOR,City of York Council,YOR,local-authority,local-authority,2025-02-19,1905-06-18,
10000,local-authority:CUA,Cumberland Council,CUA,local-authority,local-authority,2025-02-19,2023-04-01,
10001,local-authority:WFUA,Westmorland and Furness Council,WFUA,local-authority,local-authority,2025-02-19,2023-04-01,
10003,local-authority:SUA,Somerset Council,SUA,local-authority,local-authority,2025-02-19,2023-04-01,
10004,local-authority:NYUA,North Yorkshire Council,NYUA,local-authority,local-authority,2025-02-19,2023-04-01,
10005,local-authority:YNYCA,York and North Yorkshire Combined Authority,YNYCA,local-authority,local-authority,2025-02-19,2024-02-01,
10006,local-authority:NNECA,North East Combined Authority,NNECA,local-authority,local-authority,2025-02-19,2024-05-07,
10007,local-authority:EMCCA,East Midlands Combined County Authority,EMCCA,local-authority,local-authority,2025-02-19,2024-02-28,
501908,local-authority:NNUA,North Northamptonshire Council,NNUA,local-authority,local-authority,2025-02-19,2020-04-01,
501909,local-authority:WNUA,West Northamptonshire Council,WNUA,local-authority,local-authority,2025-02-19,2020-04-01,
396,national-park-authority:Q20198711,South Downs National Park Authority,Q20198711,national-park-authority,wikidata,2025-02-19,,
397,national-park-authority:Q27159704,Lake District National Park Authority,Q27159704,national-park-authority,wikidata,2025-02-19,,
398,national-park-authority:Q27178932,Yorkshire Dales National Park Authority,Q27178932,national-park-authority,wikidata,2025-02-19,,
399,national-park-authority:Q4972284,Broads Authority,Q4972284,national-park-authority,wikidata,2025-02-19,1978-01-01,
400,national-park-authority:Q5225646,Dartmoor National Park Authority,Q5225646,national-park-authority,wikidata,2025-02-19,,
401,national-park-authority:Q72617158,New Forest National Park Authority,Q72617158,national-park-authority,wikidata,2025-02-19,,
402,national-park-authority:Q72617669,North York Moors National Park Authority,Q72617669,national-park-authority,wikidata,2025-02-19,,
403,national-park-authority:Q72617784,Exmoor National Park Authority,Q72617784,national-park-authority,wikidata,2025-02-19,,
404,national-park-authority:Q72617890,Northumberland National Park Authority,Q72617890,national-park-authority,wikidata,2025-02-19,,
405,national-park-authority:Q72617988,Peak District National Park Authority,Q72617988,national-park-authority,wikidata,2025-02-19,,
1,development-corporation:Q20648596,Old Oak and Park Royal Development Corporation,Q20648596,development-corporation,wikidata,2025-02-19,2015-04-01,
2,development-corporation:Q4916714,Birmingham Heartlands Development Corporation,Q4916714,development-corporation,wikidata,2025-02-19,1992-01-01,1998-07-01
3,development-corporation:Q6670544,London Legacy Development Corporation,Q6670544,development-corporation,wikidata,2025-02-19,2012-03-09,2024-12-01
4,development-corporation:Q6670837,London Thames Gateway Development Corporation,Q6670837,development-corporation,wikidata,2025-02-19,2004-06-26,2013-01-24
5,development-corporation:Q72456968,South Tees Development Corporation,Q72456968,development-corporation,wikidata,2025-02-19,2017-08-01,
6,development-corporation:Q72463795,Ebbsfleet Development Corporation,Q72463795,development-corporation,wikidata,2025-02-19,2015-04-20,
7,development-corporation:Q7799380,Thurrock Thames Gateway Development Corporation,Q7799380,development-corporation,wikidata,2025-02-19,2003-10-29,2012-04-03
8,development-corporation:Q7860503,Tyne and Wear Development Corporation,Q7860503,development-corporation,wikidata,2025-02-19,1987-05-15,1998-07-01
9,development-corporation:Q7986087,West Northamptonshire Development Corporation,Q7986087,development-corporation,wikidata,2025-02-19,2004-12-15,2014-03-31
600003,development-corporation:Q105544651,Aycliffe and Peterlee Development Corporation,Q105544651,development-corporation,wikidata,2025-02-19,,1988-03-31
600004,development-corporation:Q105544654,Basildon Development Corporation,Q105544654,development-corporation,wikidata,2025-02-19,,1986-03-31
600005,development-corporation:Q5061392,Central Manchester Development Corporation,Q5061392,development-corporation,wikidata,2025-02-19,1988-06-30,1996-07-01
600006,development-corporation:Q3258953,London Docklands Development Corporation,Q3258953,development-corporation,wikidata,2025-02-19,1981-01-01,1998-07-01
600007,development-corporation:Q105544669,Telford Development Corporation,Q105544669,development-corporation,wikidata,2025-02-19,,1990-09-30
4700000,development-corporation:Q7694573,Teesside Development Corporation,Q7694573,development-corporation,wikidata,2025-02-19,1987-05-17,1998-07-01
4700001,development-corporation:Q117149370,Middlesbrough Development Corporation,Q117149370,development-corporation,wikidata,2025-02-19,2023-02-27,
4700002,development-corporation:Q124604981,Hartlepool Development Corporation,Q124604981,development-corporation,wikidata,2025-02-19,2023-02-27,
4700003,development-corporation:Q6515953,Leeds Development Corporation,Q6515953,development-corporation,wikidata,2025-02-19,1988-06-30,1995-04-01
4700004,development-corporation:Q4968888,Bristol Development Corporation,Q4968888,development-corporation,wikidata,2025-02-19,1989-01-19,1995-04-01
4700005,development-corporation:Q5182976,Crawley Development Corporation,Q5182976,development-corporation,wikidata,2025-02-19,1947-02-01,1962-01-01
4700006,development-corporation:Q115585981,Stockport Town Centre West Mayoral Development Corporation,Q115585981,development-corporation,wikidata,2025-02-19,2019-09-02,
4700007,development-corporation:Q3920908,Merseyside Development Development Corporation,Q3920908,development-corporation,wikidata,2025-02-19,1981-01-01,1998-07-01
4700008,development-corporation:Q6861239,Milton Keynes Development Development Corporation,Q6861239,development-corporation,wikidata,2025-02-19,1969-01-01,1992-04-01
4700009,development-corporation:Q7177999,Peterborough Development Development Corporation,Q7177999,development-corporation,wikidata,2025-02-19,1967-07-27,1988-10-01
4700010,development-corporation:Q7205796,Plymouth Development Development Corporation,Q7205796,development-corporation,wikidata,2025-02-19,1993-04-01,1998-07-01
4700011,development-corporation:Q7832579,Trafford Park Development Corporation,Q7832579,development-corporation,wikidata,2025-02-19,1987-02-10,1998-07-01
4700012,development-corporation:stockport-town-centre-MDC,Stockport Town Centre Development Corporation,stockport-town-centre-MDC,development-corporation,wikidata,2026-01-08,,
4700013,development-corporation:northern-gateway-MDC,Northern Gateway Development Corporation,northern-gateway-MDC,development-corporation,wikidata,2026-01-08,,
4700014,development-corporation:old-trafford-MDC,Old Trafford Development Corporation,old-trafford-MDC,development-corporation,wikidata,2026-01-08,,
4700015,development-corporation:Q137717415,Oxford Street Development Corporation,Q137717415,development-corporation,wikidata,2026-01-08,2026-01-01,
10,government-organisation:D303,Office for National Statistics,D303,government-organisation,government-organisation,2024-07-10,1996-04-01,
11,government-organisation:D38,Ordnance Survey,D38,government-organisation,government-organisation,2024-07-10,,
12,government-organisation:D4,"Ministry of Housing, Communities and Local Government",D4,government-organisation,government-organisation,2024-07-10,2006-05-01,2021-09-20
13,government-organisation:D69,HM Land Registry,D69,government-organisation,government-organisation,2024-07-10,1862-01-01,
14,government-organisation:EA39,Planning Inspectorate,EA39,government-organisation,government-organisation,2024-07-10,,
15,government-organisation:EA87,Valuation Office Agency,EA87,government-organisation,government-organisation,2024-07-10,,
16,government-organisation:PB1164,Historic England,PB1164,government-organisation,government-organisation,2024-07-10,1984-01-01,
17,government-organisation:PB1204,Valuation Tribunal for England,PB1204,government-organisation,government-organisation,2024-07-10,,
18,government-organisation:PB1218,Regulator of Social Housing,PB1218,government-organisation,government-organisation,2024-07-10,2018-01-01,
19,government-organisation:PB1232,Homes England,PB1232,government-organisation,government-organisation,2024-07-10,2018-01-01,
20,government-organisation:PB160,Building Regulations Advisory Committee,PB160,government-organisation,government-organisation,2024-07-10,,
21,government-organisation:PB207,Health and Safety Executive,PB207,government-organisation,government-organisation,2024-07-10,,
22,government-organisation:PB372,Housing Ombudsman,PB372,government-organisation,government-organisation,2024-07-10,,
23,government-organisation:PB373,Leasehold Advisory Service,PB373,government-organisation,government-organisation,2024-07-10,,
24,government-organisation:PB375,Valuation Tribunal Service,PB375,government-organisation,government-organisation,2024-07-10,,
25,government-organisation:PC163,Architects Registration Board,PC163,government-organisation,government-organisation,2024-07-10,,
501910,government-organisation:PB202,Natural England,PB202,government-organisation,government-organisation,2024-07-10,2006-10-01,
600001,government-organisation:D1342,"Ministry of Housing, Communities & Local Government",D1342,government-organisation,government-organisation,2024-07-10,2024-07-09,
600002,government-organisation:D7,"Department for Environment, Food & Rural Affairs",D7,government-organisation,government-organisation,2024-07-10,2001-01-01,
600009,government-organisation:EA199,Environment Agency,EA199,government-organisation,government-organisation,2024-07-10,1996-04-01,
600010,government-organisation:D9,Department for Transport,D9,government-organisation,government-organisation,2024-07-10,2002-01-01,
600011,government-organisation:D85,Forestry Commission,D85,government-organisation,government-organisation,2024-07-10,1919-01-01,
600012,government-organisation:D6,Department for Education,D6,government-organisation,government-organisation,2024-07-10,2010-05-12,
408,passenger-transport-executives:Q25171369,West Midlands Passenger Transport Executive,Q25171369,passenger-transport-executive,wikidata,2025-02-19,1969-10-01,2016-06-17
409,passenger-transport-executives:Q6820591,Merseytravel,Q6820591,passenger-transport-executive,wikidata,2025-02-19,1969-12-01,
410,passenger-transport-executives:Q682520,Transport for London,Q682520,passenger-transport-executive,wikidata,2025-02-19,2000-07-03,
411,passenger-transport-executives:Q7569004,South Yorkshire Passenger Transport Executive,Q7569004,passenger-transport-executive,wikidata,2025-02-19,1974-01-01,
412,passenger-transport-executives:Q7834921,Transport for Greater Manchester,Q7834921,passenger-transport-executive,wikidata,2025-02-19,2011-04-01,
413,passenger-transport-executives:Q7860508,Tyne and Wear Passenger Transport Executive,Q7860508,passenger-transport-executive,wikidata,2025-02-19,1974-04-01,
414,passenger-transport-executives:Q7985947,Transport for West Midlands,Q7985947,passenger-transport-executive,wikidata,2025-02-19,1969-10-01,
415,passenger-transport-executives:Q7987043,West Yorkshire Passenger Transport Executive,Q7987043,passenger-transport-executive,wikidata,2025-02-19,1974-01-01,2014-04-01
15300000,passenger-transport-executives:Q54817549,Greater Manchester Passenger Transport Executive,Q54817549,passenger-transport-executive,wikidata,2025-02-19,1974-04-01,2011-04-01
