reference,cardinality,codelist,component,datatype,description,name,notes,entry-date,start-date,end-date
publication-date,1,,,datetime,Date when the ownership notice was published in the newspaper,Publication date,,2025-06-13,,
reserved-matters,n,,,enum,Identifies which reserved matters are being submitted for approval as part of this application,Reserved matters,,2025-06-12,,
units-per-bedroom-no,n,,bedroom-count,object,Number of units broken down by bedroom count,Units per bedroom number,,2025-07-17,,
proposal-existing-use-description,1,,,string,Description of the existing use before the proposed change of use,Proposal existing use description,,2025-07-17,,
use,1,,,enum,A use class or type of use,Use,"an option needs to be ""other""",2025-06-26,,
related-permissions,n,,related-permission-details,object,List of related permissions,Related permissions,Used in onshore extraction of oil and gas applications,2025-12-05,,
net-dwellings-max,1,,,number,"The maximum number of net additional dwellings proposed as part of the development, allowing for flexibility in the final housing numbers",Net dwellings maximum,,2025-06-26,,
is-psi,1,,,boolean,"For applications made on or after 1 August 2021, is the proposal for public service infrastructure development",Is public service infrastructure,,2025-06-12,,
hazardous-substance-type,1,,,enum,Reference of hazardous substance type from predefined list,Hazardous substance type,,2025-07-09,,
received-date,1,,,datetime,"Date the planning authority received the application, in YYYY-MM-DD format",Received date,,2026-01-06,,
is-within-site-constraints,1,,,boolean,Is the dwellinghouse within any restricted area,Within site constraints,,2025-07-10,,
permission-obtained,1,,,boolean,True or False indicating whether permission of the owner for the display of an advertisement has been obtained,Permission obtained,,2025-07-08,,
conflict-to-declare,1,,,boolean,Indicates whether any named applicant or agent has a relationship to the planning authority that must be declared,Conflict to declare,,2025-06-16,,
units,1,,,number,The number of units of that bedroom count,Units,,2025-07-17,,
species,1,,,string,The species of the tree,Species,,2025-06-30,,
company,1,,,string,The name of a company (that the agent works for),Company,,2025-06-02,,
produce-foul-sewage,1,,,boolean,Whether the proposed development will produce any foul sewage,Produce foul sewage,,2025-07-09,,
proposed-height,1,,,number,Height once the additional storeys have been added in metres,Proposed height,,2025-07-14,,
other-contact,1,,other-contact,object,Details of specifically named contact for site visits,Other site visit contact,,2025-06-12,,
listed-building,1,,,string,Listed building reference for cross-referencing with listed building records,Listed building,,2025-01-05,,
is-extension-beyond-rear-wall,1,,,boolean,Will the extension extend beyond the rear wall of the original dwelling,Extension beyond rear wall,,2025-07-10,,
amount,1,,,number,The total amount due for the application fee,Amount,,2025-06-20,,
officer-name,1,,,string,Name of the planning officer who provided the pre-application advice,Officer name,,2025-06-12,,
description,1,,,string,"A text description providing details about the subject. For parking changes, this describes how the proposed works affect existing car parking arrangements.",Description,,2025-06-12,,
checksum,1,,,string,Hash of the file contents used for file validation and checking files have not been tampered with,Checksum,,2025-06-20,,
floorspace,1,,,number,Total floorspace for a use in square metres,Floorspace,,2025-06-26,,
reason-not-informed,1,,,string,Reason why a person was not informed of the application,Reason not informed,,2025-01-17,,
pre-development-biodiversity-value,1,,,number,Calculated biodiversity value in Habitat Biodiversity Units,Pre development biodiversity value,,2025-06-16,,
person,1,,person,object,Detail to help identify a person,Person,,2025-06-02,,
permission-period-years,1,,,number,Period of permission sought in years,Permission period years,,2025-07-02,,
net-change,1,,,number,Calculated net change in units,Net change,,2025-07-17,,
uses,n,,use,object,List of applicable uses for a site or development,Uses,,2025-06-26,,
planning-officer-recommendation,1,,,string,"Recommendation made by the planning officer prior to the decision, such as approve, refuse, defer, or approve with conditions",Planning officer recommendation,This should probably be of datatype enum,2026-01-06,,
listed-building-grade,1,,,enum,"The grade of the listed building, selected from the listed-building-grade codelist or ""don't know""",Listed building grade,,2025-01-05,,
extension-depth,1,,,number,"How far the extension extends beyond the rear wall, measured externally in metres",Extension depth,,2025-07-14,,
amount-paid,1,,,number,The amount paid towards the application fee,Amount paid,,2025-06-20,,
grounds-for-application,1,,,string,"Reason(s) why Certificate of Lawfulness of Proposed Works should be granted,
including explanation of why listed building consent is not required
",Grounds for application,,2025-07-16,,
contact-priority,1,,,enum,The priority of a number,Contact priority,,2025-05-30,,
pre-development-date,1,,,datetime,"Date of pre-development biodiversity value calculation, must align with application or justified earlier date",Pre development date,,2025-06-16,,
description-list,1,,,string,Description or list of materials/details that are being submitted for approval,Description list,,2025-07-08,,
is-floorspace-lost-known,1,,,boolean,Whether the amount of floorspace to be lost is known,Is floorspace lost known,,2025-08-28,,
designations,n,,,enum,List of designated areas that apply to the site,Designations,,2025-01-02,,
height,1,,,number,"Height, in metres, of dimensions of advertisement",Height,in metres,2025-07-17,,
applicant-owns-land,1,,,boolean,True or False indicating whether the applicant owns the land where the advertisement will be displayed,Applicant owns land,,2025-07-08,,
flood-risk-area,1,,,boolean,Is the site within an area at risk of flooding?,Flood risk area,,2025-07-17,,
unknown-proposed,1,,,Boolean,If proposed parking spaces is unknown,Unknown proposed,,2025-07-08,,
advice-from-authority,1,,,string,Any advice provided on-site by a Local Planning Authority (LPA) officer,Advice from authority,,2025-07-01,,
will-consolidate-permissions,1,,,boolean,Is the applicant looking to consolidate permissions?,Will consolidate permissions,,2025-09-09,,
has-related-applications,1,,,boolean,"Are there any related applications, previous proposals or demolitions for the site",Has related applications,,2025-07-08,,
principal-part-only,1,,,boolean,Will the additional storeys be constructed only on the principal part of the building,Principal part only,,2025-07-18,,
advice-summary,1,,,string,Summary of the pre-application advice received from the planning authority,Advice summary,,2025-06-12,,
existing-materials,1,,,string,Description of the materials currently used for this building element,Existing materials,,2025-06-13,,
grounds-pre-2024,n,,,enum,List of grounds pre 2024-04-25 under which the certificate is sought,Grounds pre 2024,,2025-07-10,,
connect-to-drainage-system,1,,,boolean,Whether the proposal needs to connect to the existing drainage system,Connect to drainage system,,2025-07-09,,
hours-not-known,1,,,boolean,Applicant states they do not know the hours of operation,Hours not known,,2025-07-16,,
trees-on-site,1,,,boolean,Whether trees or hedges are present on the proposed development site,Trees on site,,2025-06-12,,
has-new-disposal-arrangements,1,,,boolean,Does the proposal include any new foul sewage disposal arrangments,Has new disposal arrangements,,2025-07-17,,
site-area,1,,site-area,object,The total area of the site where development is proposed,Site area,,2025-06-26,,
employment-impact,1,,,string,Summary of net employment change (gain/loss),Employment impact,,2025-07-08,,
materials-not-known,1,,,boolean,Indicates the materials for this building element are not yet known,Materials not known,,2025-06-13,,
proposal-completed,1,,,boolean,Has any work on the proposal already been completed,Proposal completed,,2025-06-12,,
replacement-documents,n,,replacement-document,object,List of documents being replaced in the amendment with old and new document references,Replacement documents,,2025-07-15,,
decision-date,1,,,string,"The date when the decision was made, in YYYY-MM-DD format",Decision date,,2025-06-12,,
file-size,1,,,number,Size of the file in bytes that can be used to enforce limits,File size,,2025-06-20,,
interest-declaration,1,,,enum,The applicant's interest or ownership in the hedgerow,Interest declaration,,2025-07-17,,
part-built-date,1,,,datetime,"The approximate date the part to be removed was built, in YYYY-MM format.",Part built date,Approximate dates are allowed,2025-06-30,,
waste-management-facility-type,1,,,enum,Type of waste management facility,Waste management facility type,,2025-07-09,,
related-applications,n,,related-application-details,object,"List of related applications, previous proposals or demolitions for the site",Related applications,,2025-07-08,,
increases-flood-risk,1,,,boolean,Whether the development increases flood risk,Increases flood risk,,2025-07-17,,
total-gross-proposed,1,,,number,"Total gross internal floorspace proposed, in sqm",Total gross proposed,,2025-07-17,,
units-unknown,1,,,boolean,Whether the number of units is unknown,Units unknown,,2025-07-17,,
supporting-documents,n,,supporting-document,object,References to supporting documents that have been uploaded with the application,Supporting documents,,2025-06-13,,
parking-space-type,1,,,enum,Type of parking space or vehicle type,Parking space type,,2025-07-08,,
ceiling-height-exceeds-3m,1,,,boolean,Will the internal floor-to-ceiling height of any additional storey exceed 3 metres,Ceiling height exceeds 3m,,2025-07-18,,
applicant-interest,1,,,string,Description of the applicant's interest in the land,Applicant interest,,2025-07-09,,
not-applicable,1,,,boolean,Whether the facility is not applicable,Not applicable,,2025-07-09,,
is-dwelling-detached,1,,,boolean,Is the dwelling detached,Dwelling detached,,2025-07-10,,
condition-change,1,,,string,State how the condition should vary,Condition change,,2025-07-08,,
non-residential-use,n,,non-residential-use,object,"The amount of non-residential use, which can be expressed as floorspace, site area, or both",Non-residential use,,2025-06-26,,
applicant-land-interest,1,,,boolean,Does the applicant have an interest in the land,Applicant land interest,,2025-07-18,,
needs-waste-storage-area,1,,,boolean,Does the proposal require a waste storage area,Needs waste storage area,,2025-07-08,,
separate-recycling-arrangements,1,,,boolean,Does the proposal include separate recycling arrangements,Separate recycling arrangements,,2025-07-08,,
is-householder-development,1,,,boolean,Is the development to an existing dwelling-house or development within its curtilage (true/false),Is householder development,,2025-06-26,,
ldc-need,n,,,enum,What is the lawful development certificate needed for?,LDC need,At least one value must be provided,2025-07-17,,
is-discharging-part,1,,,boolean,Is applicant trying to discharge part of condition?,Is discharging part,,2025-07-07,,
development-start-date,1,,,datetime,Date when development started,Development start date,,2025-06-26,,
condition-numbers,n,,,integer,List of condition numbers related to this application,Condition numbers,,2025-06-26,,
grounds-post-2024,n,,,enum,List of grounds post 2024-04-25 under which the certificate is sought,Grounds post 2024,,2025-07-10,,
pre-loss-biodiversity-value,1,,,number,"Biodiversity value immediately before habitat loss or degradation occurred, measured in Habitat Biodiversity Units",Pre loss biodiversity value,,2025-06-16,,
is-site-in-restricted-area,1,,,boolean,"Is any part of the land or site located in a restricted area? If True, application cannot proceed.",Site in restricted area,,2025-07-15,,
needs-waste-storage-area-outline,1,,,enum,Does the proposal require a waste storage area?,Needs waste storage area,Unknown is allowed in Outline applications,2025-07-08,,
residential-unit-summary,n,,residential-unit-summary,object,Breakdown of unit counts by tenure and housing type,Residential unit summary,,2025-07-17,,
site-constraints,n,,,enum,List of specific site constraints that restrict development,Site constraints,,2025-07-10,,
use-details,1,,,string,Further detail of the use,Use details,,2025-07-09,,
interruption-details,1,,,string,Details of any interruption to the existing use including dates and circumstances,Interruption details,,2025-07-15,,
dwellinghouse-use,1,,,boolean,Will the extended dwelling remain as a Class C3 dwellinghouse or ancillary use,Dwellinghouse use,,2025-07-18,,
phone-numbers,n,,phone-number,object,One or more telephone numbers to contact individual,Phone number(s),,,,
contact-details,1,,contact-details,object,A structured object containing contact information for an individual. This component is required for planning in principle (PiP) applications and optional for other application types. Contains email and phone contact information.,Contact details,,2025-06-02,,
drainage-system-details,1,,,string,Details of the drawings/plans that show the existing drainage system,Drainage system details,,2025-07-09,,
is-total-rooms-proposed-known,1,,,boolean,Whether the total rooms proposed is known,Is total rooms proposed known,,2025-08-28,,
hedgerow-less-than-30-years,1,,,boolean,Is the hedgerow less than 30 years old?,Hedgerow less than 30 years,,2025-07-17,,
environmental-statement-reference,1,,,string,Reference of the environmental statement document supplied with application,Environmental statement reference,,2025-07-02,,
proposal-description,1,,,string,"A description of what is being proposed, including the development, works, or change of use",Proposal description,,2025-06-12,,
total-proposed,1,,,number,Total number of proposed parking spaces,Total proposed,,2025-07-08,,
notice-date,1,,,datetime,Date when notice was served to an owner or tenant,Notice date,,2025-06-13,,
bng-details,1,,bng-details,object,"Comprehensive details about biodiversity net gain assessment including pre-development value, habitat loss information, and supporting documentation",Biodiversity net gain details,,2025-06-16,,
applicant-signature,1,,,string,Digital signature of the applicant,Applicant signature,,2025-06-13,,
advice-date,1,,,string,"Date when pre-application advice was received, in YYYY-MM-DD format",Advice date,,2025-06-12,,
existing-rooms-lost,1,,,number,Existing rooms to be lost by change of use,Existing rooms lost,Must be 0 or positive,2025-07-17,,
room-details,n,,room-details,object,"List of room changes for hotels, residential institutions and hostels",Room details,"Required if change to hotels, residential institutions and hostel floorspace (C1, C2, C2A use classes)",2025-07-17,,
can-be-seen-from,1,,,boolean,"Can site be seen from a public road, public footpath, bridleway or other public land",Site seen from public area,,2025-06-12,,
will-residential-units-change,1,,,boolean,"Proposal includes the gain, loss or change of use of residential units",Residential unit change,,2025-07-17,,
extension-length,1,,,number,Length of rear extension in metres,Extension length,,2025-07-10,,
advert-start-date,1,,,datetime,The start of the time period that consent to advertisement is sought,Advert start date,,2025-07-07,,
application-result,1,,,string,Provide the result of the application for a certificate of immunity,Application result,,2025-07-01,,
contact-reference,1,,,string,The reference of the applicant or agent who should be contacted for site visits,Contact reference,,2025-06-12,,
max,1,,,number,"Upper bound of non-residential use, measured in square metres for floorspace or hectares for site area",Maximum value,,2025-06-26,,
ownership-cert-option,1,,,enum,The type of ownership certificate based on ownership and tenancy status,Ownership certificate type,,2025-06-13,,
proposal-building-operations-description,1,,,string,Description of the building operations included in the proposal,Proposal building operations description,,2025-07-17,,
extension-below-terrace-roof,1,,,boolean,Will the extension result in the highest part exceeding 3.5 metres above any roof in the terrace,Extension below terrace roof,,2025-07-18,,
condition-concerns,1,,,boolean,Whether there are concerns the tree(s) are diseased or might break or fall,Condition concerns,,2025-07-01,,
is-contaminated-land,1,,,boolean,Is the site known to be contaminated?,Is contaminated land,,2025-08-18,,
requested-by,1,,,enum,Organisation code for the body that requested the condition,Requested by,,2026-01-09,,
description-of-works,1,,,string,Description of the nature of the work to be carried out on this tree,Description of works,,2025-06-30,,
was-constructed-btw-1948-2018,1,,,boolean,"Was the current building constructed between 1 July 1948 and 28 October 2018? If False, application cannot proceed.",Was constructed between 1948 and 2018,,2025-07-15,,
part-time,1,,,number,Number of part-time employees,Part-time,,2025-07-08,,
separate-recycling-arrangements-details,1,,,string,"Details of the recycling arrangements including types of materials, collection methods and storage facilities",Separate recycling arrangements details,,2025-07-08,,
irreplaceable-habitats,1,,,boolean,Indicates whether the site contains any irreplaceable habitats,Irreplaceable habitats,,2025-06-16,,
site-locations,n,,site-location,object,Details of the sites where development or works are proposed,Site locations,,2025-06-13,,
uprns,n,,,string,Unique Property Reference Numbers (UPRNs) for properties within the site boundary,UPRNs,,2025-06-13,,
separate-recycling-arrangements-outline,1,,,enum,Does the proposal include separate recycling arrangements?,Separate recycling arrangements (outline),Unknown is allowable in Outline applications,2025-07-17,,
conflict-person-name,1,,,string,Name of the individual with the conflict of interest that matches one of the names provided in applicants/agent section,Conflict person name,,2025-06-16,,
document-types,n,,,enum,List of codelist references that the document covers,Document types,,2025-06-20,,
has-additional-storeys,1,,,boolean,"Have additional storeys already been added to the original building? If True, application cannot proceed.",Additional storeys added,,2025-07-15,,
quantity-cubic-metres,1,,,number,Quantity of oil or gas involved in cubic metres,Quantity cubic metres,,2025-07-02,,
documentation-url,1,,,url,,Documentation URL,,2026-01-05,,
hydrocarbon-licence-block,1,,,string,Hydrocarbon licence block where the development is located,Hydrocarbon licence block,"Typically an identifier like ""PEDL123""",2025-07-02,,
agricultural-tenants,1,,,boolean,Are there any agricultural tenants on the land?,Agricultural tenants,,2025-06-13,,
national-req-types,n,,,string,List of the document types required for the given application type,National requirement types,,2025-06-12,,
hedgerow-length,1,,,number,"Total length, in metres, of hedgerow proposed for removal",Hedgerow length,,2025-07-17,,
has-development-started,1,,,boolean,Whether the development has already started,Has development started,,2025-06-26,,
within-20m-watercourse,1,,,boolean,Whether the development is within 20 metres of a watercourse,Within 20m watercourse,,2025-07-17,,
municipal,1,,,number,Maximum throughput for municipal waste (annual throughput in tonnes/litres),Municipal,,2025-07-09,,
falling-trees-document,1,,supporting-document,object,Details of document showing location of trees that pose a risk to the development,Falling trees document,,2025-06-12,,
phone-number,1,,phone-number,object,Contact telephone number,Phone number,,2025-06-12,,
provided-by,1,,,enum,Whether the information was provided by the applicant or calculated by the system,Provided by,,2025-06-26,,
proposal-incl-change-of-use,1,,,boolean,Does the proposal include a change of use?,Proposal incl change of use,,2025-07-17,,
tree-details,n,,tree-details,object,Details of each tree that is part of the proposal including work to be carried out,Tree details,,2025-06-30,,
is-advert-overhanging,1,,,boolean,Whether the advertisement will project over a footpath or other public highway,Is advert overhanging,,2025-07-09,,
fee,1,,fee,object,The fee payable for the application including amounts and transaction details,Fee,,2025-06-20,,
trees-on-adj-land,1,,,boolean,Whether trees or hedges on land adjacent to the proposed development site could influence the development or might be important as part of the local landscape character,Trees on adjacent land,,2025-06-12,,
existing-ceiling-height-exceeds-3m,1,,,boolean,Will the internal floor-to-ceiling height of any existing storey exceed 3 metres,Existing ceiling height exceeds 3m,,2025-07-18,,
informed-of-application,1,,,boolean,Whether the person has been informed of the application,Informed of application,,2025-01-17,,
sole-owner,1,,,boolean,Is the applicant the sole owner of the land?,Sole owner,,2025-06-13,,
is-existing-rooms-lost-known,1,,,boolean,Whether the total existing rooms that will be lost is known,Is existing rooms lost known,,2025-08-28,,
advertisements,n,,advertisement,object,Structured data about each proposed advertisement,Advertisements,,2025-07-17,,
decision,1,,,string,Outcome of the planning decision,Decision,This maybe need a codelist to constrain what can be entered,2025-12-18,,
external-support-required,1,,,boolean,Will the proposed engineering works include external support structures or extend beyond the curtilage for wall or foundation strengthening,External support required,,2025-07-18,,
parking-spaces,n,,parking-space,object,Array of parking space information by vehicle type,Parking spaces,,2025-07-08,,
use-lawful-reason,1,,,string,"Explanation of why the existing or last use is considered lawful, 
providing justification for a lawful development certificate application
",Use lawful reason,,2025-06-26,,
applicant-reference,1,,,string,Reference to match contact details to a named individual from the applicant details component,Applicant reference,,2025-06-16,,
user-role,1,,,enum,The role of the named individual. Agent or proxy,User role,,2025-06-20,,
earlier-date-reason,1,,,string,Reason for using a pre-development date that is earlier than the application submission,Earlier date reason,,2025-06-16,,
owner,n,,owner,object,Details of the owner of trees when the applicant is not the owner,Tree owner,,2025-06-30,,
application-type,1,,,enum,The type of planning application,Application type,,2025-09-09,,
planting-evidence-attached,1,,,boolean,Is evidence of the date of planting attached?,Planting evidence attached,,2025-07-17,,
temp-right-of-way,1,,,enum,Are temporary changes to rights of way needed while the site is worked,Temporary right of way changes,,2025-06-13,,
total-proposed-units,1,,,number,The total number of proposed units,Total proposed units,,2025-07-17,,
transactions,n,,,string,References to payments or financial transactions related to this application,Transactions,,2025-06-20,,
archaeological-features-impact,1,,,enum,Where is there a likelihood of features of archaeological conservation importance being affected?,Archaeological features impact,,2025-07-08,,
proposal-alter-lb,1,,,boolean,True or False if proposal includes alterations to a listed building,Proposal alter listed building,,2025-06-12,,
open-time,1,,,string,Opening time,Open time,Format: HH:MM,2025-07-16,,
proposed-employees,1,,employees,object,Counts of proposed employees,Proposed employees,,2025-07-08,,
existing-use-details,n,,existing-use-detail,object,List of existing site uses and related land areas,Existing use details,,2025-07-09,,
total-units,1,,,number,Total number of units,Total units,,2025-07-17,,
new-public-road,1,,,enum,Will new public roads be provided within the site,New public road,,2025-06-13,,
document-url,1,,,url,A url to a document,Document URL,,2026-01-05,,
is-extension-height-over-4m,1,,,boolean,Will the extension exceed 4 metres in height,Extension height over 4m,,2025-07-10,,
no-bedrooms-unknown,1,,,boolean,Set to true when counting units where bedroom number is unknown,No bedrooms unknown,,2025-07-17,,
connect-to-drainage-system-oil-gas,1,,,enum,Whether the proposal needs to connect to the existing drainage system (oil and gas applications),Connect to drainage system (oil and gas),,2026-01-15,,
is-demolishing-building-in-curtilage,1,,,boolean,True or False indicating whether the proposal involves demolition of a building in the curtilage of a listed building,Demolition building in curtilage,,2025-06-30,,
advice-sought,1,,,boolean,Whether pre-application advice has been sought from the planning authority,Pre-application advice sought,,2025-06-12,,
pip-reference,1,,,string,Reference number for the Planning in Principle (PIP) application this relates to,PIP reference,,2025-06-12,,
has-development-completed,1,,,boolean,Whether the development has been completed,Has development completed,,2025-06-26,,
is-total-capacity-known,1,,,boolean,Whether the total capacity is known,Is total capacity known,,2025-07-09,,
substance-types,n,,hazardous-substance,object,List of hazardous substances and their quantities,Substance types,,2025-07-09,,
is-proposing-demolition,1,,,boolean,The proposal includes partial or total demolition of a listed building?,Is propsing demolition,,2025-06-30,,
document-reference,n,,supporting-document,object,References to documents detailing the proposed alterations,Document reference,,2025-06-12,,
bng-exempt,1,,,boolean,Statement whether the biodiversity gain condition will apply if permission is granted. Householder applicants need to confirm the biodiversity gain condition does not apply.,Biodiversity gain exemption,,2025-06-16,,
other-details,1,,,string,Explanation if other ground is selected,Other details,,2025-07-10,,
change-right-of-way,1,,,enum,Will the proposal change public rights of way (diversion/extinguishment/creation),Change to right of way,,2025-06-13,,
exemption-type,1,,,enum,The type of biodiversity gain exemption from the bng-exemption-type enum,Exemption type,,2025-07-15,,
proposal-started-date,1,,,datetime,"The date when work on the proposal started, in YYYY-MM-DD format",Proposal start date,,2025-06-12,,
existing-use-start-date,1,,,datetime,"Date when the existing use of the land or building commenced, in YYYY-MM-DD format",Existing use start date,,2025-07-15,,
notified-persons,n,,notified-person,object,"List of persons notified, including address and date",Notified persons,,2025-07-18,,
use-other,1,,,string,"Specify use if use is ""other""",Use other,"Required if use is ""other""",2025-07-16,,
waste-management-outline,n,,waste-management-outline,object,List of waste management facilities involved in the proposal. Specifically for outline applications,Waste management,,2025-07-14,,
bng-condition-applies,1,,,boolean,Does the applicant believe the Biodiversity Gain Condition applies to this application,Biodiversity gain condition applies,,2025-06-16,,
roof-height-exceeds-3-5m,1,,,boolean,Will the roof exceed 3.5 metres above the highest part of the existing roof,Roof height exceeds 3.5m,,2025-07-18,,
planning-application,1,,,string,Reference for the associated planning application,Planning application,,2025-12-18,,
operation-type,1,,,enum,Whether the proposed use is temporary or permanent,Operation type,,2025-07-17,,
signature-date,1,,,datetime,Date when the ownership certificate was signed,Signature date,,2025-06-13,,2026-01-26
postcode,1,,,string,The postal code,Postcode,,2025-06-02,,
advertisement-count,1,,,number,Number of this type of advertisement,Advertisement count,,2025-07-08,,
day-type,1,,,enum,Day or type of day,Day type,,2025-07-16,,
new-altered-pedestrian,1,,,enum,Is a new or altered pedestrian access proposed to/from the public highway,New or altered pedestrian access,,2025-06-13,,
materials,1,,,string,Materials of proposed sign,Materials,,2025-07-17,,
is-annual-throughput-known,1,,,boolean,Whether the annual throughput is known,Is annual throughput known,,2025-07-09,,
owner-details,n,,ldc-owner-details,object,Details of property owners including their personal information and notification status,Owner details,,2025-01-17,,
decision-maker,1,,,enum,"Person or body that made the decision, such as an officer, committee, Mayor, Secretary of State, or Planning Inspectorate inspector",Decision maker,,2026-01-06,,
first-name,1,,,string,The first name of the individual,First Name,,2025-06-02,,
unit-type,1,,,enum,"Unit for capacity/throughput (e.g. cubic metres, tonnes, litres)",Unit type,,2025-10-08,,
difference-in-spaces,1,,,number,Net change in parking spaces (proposed minus existing),Difference in spaces,,2025-07-08,,
latitude,1,,,number,Latitude coordinate in WGS84 (EPSG:4326),Latitude,,2025-06-13,,
is-disposal-required,1,,,boolean,Does the proposal involve the disposal of trade effluents or waste (true/false),Disposal required,,2025-06-26,,
number,1,,,string,A phone number,Phone number,,,,
site-area-provided-by,1,,,enum,Who provided the site area value,Site area provided by,,2025-07-02,,
floorspace-details-outline,n,,floorspace-details-outline,object,List of non-residential floorspace changes by use class.,Floorspace details,This field is used solely for outline applications,2025-07-17,,
organisation,1,,,enum,"Identifier of the organisation e.g. identifier for planning authority, Planning Inspectorate, or MHCLG",Organisation,,2026-01-06,,
existing-gross-floorspace,1,,,number,"Existing gross internal floorspace, in sqm",Existing gross floorspace,,2025-07-17,,
documents,n,,document,object,List of submitted documents with references and details,Documents,,2025-06-20,,
