reference,application-type,application-sub-type,planning-requirement,entry-date,start-date,end-date
full-biodiversity-survey-report,full,,biodiversity-survey-report,2025-05-06,,
rm-biodiversity-survey-report,reserved-matters,,biodiversity-survey-report,2025-05-06,,
outline-biodiversity-survey-report,outline,,biodiversity-survey-report,2025-05-06,,
full-site-plan,full,,site-plan,2025-05-06,,
rm-site-plan,reserved-matters,,site-plan,2025-05-06,,
hh-site-plan,hh,,site-plan,2025-05-06,,
ldc-proposed-site-plan,,ldc-proposed-work-lb,site-plan,2025-05-06,,
ldc-existing-site-plan,,ldc-existing-use,site-plan,2025-05-06,,
outline-site-plan,outline,,site-plan,2025-05-06,,
lbc-site-plan,lbc,,site-plan,2025-05-06,,
demo-con-area-site-plan,demolition-con-area,,site-plan,2025-05-06,,
full-elevation-existing,full,,elevation-existing,2025-05-06,,
advertising-elevation-existing,advertising,,elevation-existing,2025-05-06,,
rm-elevation-existing,reserved-matters,,elevation-existing,2025-05-06,,
hh-elevation-existing,hh,,elevation-existing,2025-05-06,,
ldc-proposed-elevation-existing,,ldc-proposed-work-lb,elevation-existing,2025-05-06,,
ldc-existing-elevation-existing,,ldc-existing-use,elevation-existing,2025-05-06,,
outline-elevation-existing,outline,,elevation-existing,2025-05-06,,
lbc-elevation-existing,lbc,,elevation-existing,2025-05-06,,
demo-con-area-elevation-existing,demolition-con-area,,elevation-existing,2025-05-06,,
full-roof-plan-existing,full,,roof-plan-existing,2025-05-06,,
rm-roof-plan-existing,reserved-matters,,roof-plan-existing,2025-05-06,,
hh-roof-plan-existing,hh,,roof-plan-existing,2025-05-06,,
out-s-roof-plan-existing,,outline-some,roof-plan-existing,2025-05-06,,
lbc-roof-plan-existing,lbc,,roof-plan-existing,2025-05-06,,
demo-con-area-roof-plan-existing,demolition-con-area,,roof-plan-existing,2025-05-06,,
full-flood-risk-assessment,full,,flood-risk-assessment,2025-05-06,,
rm-flood-risk-assessment,reserved-matters,,flood-risk-assessment,2025-05-06,,
outline-flood-risk-assessment,outline,,flood-risk-assessment,2025-05-06,,
full-land-contamination-assessment,full,,land-contamination-assessment,2025-05-06,,
rm-land-contamination-assessment,reserved-matters,,land-contamination-assessment,2025-05-06,,
outline-land-contamination-assessment,outline,,land-contamination-assessment,2025-05-06,,
full-landscaping-plan,full,,landscaping-plan,2025-05-06,,
full-location-plan,full,,location-plan,2025-05-06,,
advertising-location-plan,advertising,,location-plan,2025-05-06,,
rm-location-plan,reserved-matters,,location-plan,2025-05-06,,
hh-location-plan,hh,,location-plan,2025-05-06,,
ldc-location-plan,ldc,,location-plan,2025-05-06,,
lbc-location-plan,lbc,,location-plan,2025-05-06,,
demo-con-area-location-plan,demolition-con-area,,location-plan,2025-05-06,,
consent-under-tpo-location-plan,consent-under-tpo,,location-plan,2025-05-06,,
notice-trees-in-con-area-location-plan,notice-trees-in-con-area,,location-plan,2025-05-06,,
hedgerow-removal-location-plan,hedgerow-removal,,location-plan,2025-05-06,,
extraction-oil-gas-location-plan,extraction-oil-gas,,location-plan,2025-05-06,,
full-noise-assessment,full,,noise-assessment,2025-05-06,,
rm-noise-assessment,reserved-matters,,noise-assessment,2025-05-06,,
outline-noise-assessment,outline,,noise-assessment,2025-05-06,,
lbc-schedule-of-works,lbc,,schedule-of-works,2025-05-06,,
full-sci,full,,sci,2025-05-06,,
rm-sci,reserved-matters,,sci,2025-05-06,,
outline-sci,outline,,sci,2025-05-06,,
full-sustainability-statement,full,,sustainability-statement,2025-05-06,,
rm-sustainability-statement,reserved-matters,,sustainability-statement,2025-05-06,,
outline-sustainability-statement,outline,,sustainability-statement,2025-05-06,,
full-arbor-report,full,,arboriculturist-report,2025-05-06,,
rm-arbor-report,reserved-matters,,arboriculturist-report,2025-05-06,,
outline-arbor-report,outline,,arboriculturist-report,2025-05-06,,