issue_number,issue_url,label_name,label_description,label_colour,label_url,fetched_at
397,https://github.com/digital-land/planning-application-data-specification/issues/397,suggestion,,93F01E,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/suggestion,2026-04-01T05:44:27+00:00
397,https://github.com/digital-land/planning-application-data-specification/issues/397,Backlog,Parked issues are active issues that are unlikely to be resolved for the initial draft,CD5005,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Backlog,2026-04-01T05:44:27+00:00
397,https://github.com/digital-land/planning-application-data-specification/issues/397,Policy,,D89782,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Policy,2026-04-01T05:44:27+00:00
397,https://github.com/digital-land/planning-application-data-specification/issues/397,Submissions,,e9186f,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Submissions,2026-04-01T05:44:27+00:00
396,https://github.com/digital-land/planning-application-data-specification/issues/396,suggestion,,93F01E,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/suggestion,2026-04-01T05:44:27+00:00
396,https://github.com/digital-land/planning-application-data-specification/issues/396,Backlog,Parked issues are active issues that are unlikely to be resolved for the initial draft,CD5005,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Backlog,2026-04-01T05:44:27+00:00
396,https://github.com/digital-land/planning-application-data-specification/issues/396,Policy,,D89782,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Policy,2026-04-01T05:44:27+00:00
396,https://github.com/digital-land/planning-application-data-specification/issues/396,Submissions,,e9186f,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Submissions,2026-04-01T05:44:27+00:00
395,https://github.com/digital-land/planning-application-data-specification/issues/395,suggestion,,93F01E,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/suggestion,2026-04-01T05:44:27+00:00
395,https://github.com/digital-land/planning-application-data-specification/issues/395,Backlog,Parked issues are active issues that are unlikely to be resolved for the initial draft,CD5005,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Backlog,2026-04-01T05:44:27+00:00
395,https://github.com/digital-land/planning-application-data-specification/issues/395,Policy,,D89782,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Policy,2026-04-01T05:44:27+00:00
395,https://github.com/digital-land/planning-application-data-specification/issues/395,Submissions,,e9186f,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Submissions,2026-04-01T05:44:27+00:00
394,https://github.com/digital-land/planning-application-data-specification/issues/394,suggestion,,93F01E,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/suggestion,2026-04-01T05:44:27+00:00
394,https://github.com/digital-land/planning-application-data-specification/issues/394,Backlog,Parked issues are active issues that are unlikely to be resolved for the initial draft,CD5005,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Backlog,2026-04-01T05:44:27+00:00
394,https://github.com/digital-land/planning-application-data-specification/issues/394,Policy,,D89782,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Policy,2026-04-01T05:44:27+00:00
393,https://github.com/digital-land/planning-application-data-specification/issues/393,community help wanted,Extra attention from the community is needed,008672,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/community%20help%20wanted,2026-04-01T05:44:27+00:00
393,https://github.com/digital-land/planning-application-data-specification/issues/393,Decision data,,c4fdd3,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Decision%20data,2026-04-01T05:44:27+00:00
392,https://github.com/digital-land/planning-application-data-specification/issues/392,community help wanted,Extra attention from the community is needed,008672,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/community%20help%20wanted,2026-04-01T05:44:27+00:00
392,https://github.com/digital-land/planning-application-data-specification/issues/392,model,,1A61A6,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/model,2026-04-01T05:44:27+00:00
392,https://github.com/digital-land/planning-application-data-specification/issues/392,enhancement,Improving what we already have,a2eeef,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/enhancement,2026-04-01T05:44:27+00:00
392,https://github.com/digital-land/planning-application-data-specification/issues/392,Submissions,,e9186f,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Submissions,2026-04-01T05:44:27+00:00
392,https://github.com/digital-land/planning-application-data-specification/issues/392,Implementation,,5fc86a,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Implementation,2026-04-01T05:44:27+00:00
392,https://github.com/digital-land/planning-application-data-specification/issues/392,Data modelling,,d06618,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Data%20modelling,2026-04-01T05:44:27+00:00
390,https://github.com/digital-land/planning-application-data-specification/issues/390,suggestion,,93F01E,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/suggestion,2026-04-01T05:44:27+00:00
389,https://github.com/digital-land/planning-application-data-specification/issues/389,Integration,,b6aa55,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Integration,2026-04-01T05:44:27+00:00
388,https://github.com/digital-land/planning-application-data-specification/issues/388,model,,1A61A6,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/model,2026-04-01T05:44:27+00:00
388,https://github.com/digital-land/planning-application-data-specification/issues/388,Submissions,,e9186f,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Submissions,2026-04-01T05:44:27+00:00
388,https://github.com/digital-land/planning-application-data-specification/issues/388,Implementation,,5fc86a,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Implementation,2026-04-01T05:44:27+00:00
388,https://github.com/digital-land/planning-application-data-specification/issues/388,Planning permission board,For all tickets on planning permission board,dc3bf6,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Planning%20permission%20board,2026-04-01T05:44:27+00:00
386,https://github.com/digital-land/planning-application-data-specification/issues/386,community help wanted,Extra attention from the community is needed,008672,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/community%20help%20wanted,2026-04-01T05:44:27+00:00
386,https://github.com/digital-land/planning-application-data-specification/issues/386,Decision data,,c4fdd3,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Decision%20data,2026-04-01T05:44:27+00:00
386,https://github.com/digital-land/planning-application-data-specification/issues/386,Integration,,b6aa55,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Integration,2026-04-01T05:44:27+00:00
385,https://github.com/digital-land/planning-application-data-specification/issues/385,Submissions,,e9186f,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Submissions,2026-04-01T05:44:27+00:00
385,https://github.com/digital-land/planning-application-data-specification/issues/385,Implementation,,5fc86a,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Implementation,2026-04-01T05:44:27+00:00
385,https://github.com/digital-land/planning-application-data-specification/issues/385,Planning permission board,For all tickets on planning permission board,dc3bf6,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Planning%20permission%20board,2026-04-01T05:44:27+00:00
360,https://github.com/digital-land/planning-application-data-specification/issues/360,Policy,,D89782,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Policy,2026-04-01T05:44:27+00:00
360,https://github.com/digital-land/planning-application-data-specification/issues/360,Implementation,,5fc86a,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Implementation,2026-04-01T05:44:27+00:00
360,https://github.com/digital-land/planning-application-data-specification/issues/360,Planning permission board,For all tickets on planning permission board,dc3bf6,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Planning%20permission%20board,2026-04-01T05:44:27+00:00
360,https://github.com/digital-land/planning-application-data-specification/issues/360,to-check,,232198,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/to-check,2026-04-01T05:44:27+00:00
358,https://github.com/digital-land/planning-application-data-specification/issues/358,Policy,,D89782,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Policy,2026-04-01T05:44:27+00:00
358,https://github.com/digital-land/planning-application-data-specification/issues/358,Implementation,,5fc86a,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Implementation,2026-04-01T05:44:27+00:00
358,https://github.com/digital-land/planning-application-data-specification/issues/358,Planning permission board,For all tickets on planning permission board,dc3bf6,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Planning%20permission%20board,2026-04-01T05:44:27+00:00
358,https://github.com/digital-land/planning-application-data-specification/issues/358,to-check,,232198,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/to-check,2026-04-01T05:44:27+00:00
355,https://github.com/digital-land/planning-application-data-specification/issues/355,Backlog,Parked issues are active issues that are unlikely to be resolved for the initial draft,CD5005,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Backlog,2026-04-01T05:44:27+00:00
355,https://github.com/digital-land/planning-application-data-specification/issues/355,Policy,,D89782,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Policy,2026-04-01T05:44:27+00:00
355,https://github.com/digital-land/planning-application-data-specification/issues/355,Community,Relates to the community,246ca3,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Community,2026-04-01T05:44:27+00:00
355,https://github.com/digital-land/planning-application-data-specification/issues/355,Submissions,,e9186f,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Submissions,2026-04-01T05:44:27+00:00
352,https://github.com/digital-land/planning-application-data-specification/issues/352,model,,1A61A6,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/model,2026-04-01T05:44:27+00:00
352,https://github.com/digital-land/planning-application-data-specification/issues/352,Submissions,,e9186f,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Submissions,2026-04-01T05:44:27+00:00
352,https://github.com/digital-land/planning-application-data-specification/issues/352,Implementation,,5fc86a,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Implementation,2026-04-01T05:44:27+00:00
352,https://github.com/digital-land/planning-application-data-specification/issues/352,Planning permission board,For all tickets on planning permission board,dc3bf6,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Planning%20permission%20board,2026-04-01T05:44:27+00:00
350,https://github.com/digital-land/planning-application-data-specification/issues/350,Policy,,D89782,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Policy,2026-04-01T05:44:27+00:00
350,https://github.com/digital-land/planning-application-data-specification/issues/350,Submissions,,e9186f,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Submissions,2026-04-01T05:44:27+00:00
350,https://github.com/digital-land/planning-application-data-specification/issues/350,Implementation,,5fc86a,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Implementation,2026-04-01T05:44:27+00:00
350,https://github.com/digital-land/planning-application-data-specification/issues/350,Data modelling,,d06618,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Data%20modelling,2026-04-01T05:44:27+00:00
350,https://github.com/digital-land/planning-application-data-specification/issues/350,to-check,,232198,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/to-check,2026-04-01T05:44:27+00:00
344,https://github.com/digital-land/planning-application-data-specification/issues/344,suggestion,,93F01E,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/suggestion,2026-04-01T05:44:27+00:00
344,https://github.com/digital-land/planning-application-data-specification/issues/344,Backlog,Parked issues are active issues that are unlikely to be resolved for the initial draft,CD5005,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Backlog,2026-04-01T05:44:27+00:00
344,https://github.com/digital-land/planning-application-data-specification/issues/344,Submissions,,e9186f,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Submissions,2026-04-01T05:44:27+00:00
344,https://github.com/digital-land/planning-application-data-specification/issues/344,Improvement,,9e2d80,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Improvement,2026-04-01T05:44:27+00:00
344,https://github.com/digital-land/planning-application-data-specification/issues/344,Data modelling,,d06618,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Data%20modelling,2026-04-01T05:44:27+00:00
335,https://github.com/digital-land/planning-application-data-specification/issues/335,Backlog,Parked issues are active issues that are unlikely to be resolved for the initial draft,CD5005,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Backlog,2026-04-01T05:44:27+00:00
335,https://github.com/digital-land/planning-application-data-specification/issues/335,Technical,,e257f7,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Technical,2026-04-01T05:44:27+00:00
335,https://github.com/digital-land/planning-application-data-specification/issues/335,enhancement,Improving what we already have,a2eeef,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/enhancement,2026-04-01T05:44:27+00:00
335,https://github.com/digital-land/planning-application-data-specification/issues/335,Integration,,b6aa55,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Integration,2026-04-01T05:44:27+00:00
335,https://github.com/digital-land/planning-application-data-specification/issues/335,Planning permission board,For all tickets on planning permission board,dc3bf6,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Planning%20permission%20board,2026-04-01T05:44:27+00:00
330,https://github.com/digital-land/planning-application-data-specification/issues/330,Community,Relates to the community,246ca3,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Community,2026-04-01T05:44:27+00:00
330,https://github.com/digital-land/planning-application-data-specification/issues/330,Decision data,,c4fdd3,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Decision%20data,2026-04-01T05:44:27+00:00
328,https://github.com/digital-land/planning-application-data-specification/issues/328,application-type,Questions and issues about application types,0075ca,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/application-type,2026-04-01T05:44:27+00:00
328,https://github.com/digital-land/planning-application-data-specification/issues/328,Backlog,Parked issues are active issues that are unlikely to be resolved for the initial draft,CD5005,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Backlog,2026-04-01T05:44:27+00:00
328,https://github.com/digital-land/planning-application-data-specification/issues/328,Improvement,,9e2d80,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Improvement,2026-04-01T05:44:27+00:00
321,https://github.com/digital-land/planning-application-data-specification/issues/321,suggestion,,93F01E,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/suggestion,2026-04-01T05:44:27+00:00
321,https://github.com/digital-land/planning-application-data-specification/issues/321,Backlog,Parked issues are active issues that are unlikely to be resolved for the initial draft,CD5005,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Backlog,2026-04-01T05:44:27+00:00
321,https://github.com/digital-land/planning-application-data-specification/issues/321,new-module,,AEDDA7,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/new-module,2026-04-01T05:44:27+00:00
321,https://github.com/digital-land/planning-application-data-specification/issues/321,Submissions,,e9186f,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Submissions,2026-04-01T05:44:27+00:00
321,https://github.com/digital-land/planning-application-data-specification/issues/321,Improvement,,9e2d80,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Improvement,2026-04-01T05:44:27+00:00
320,https://github.com/digital-land/planning-application-data-specification/issues/320,application-type,Questions and issues about application types,0075ca,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/application-type,2026-04-01T05:44:27+00:00
320,https://github.com/digital-land/planning-application-data-specification/issues/320,suggestion,,93F01E,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/suggestion,2026-04-01T05:44:27+00:00
320,https://github.com/digital-land/planning-application-data-specification/issues/320,Backlog,Parked issues are active issues that are unlikely to be resolved for the initial draft,CD5005,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Backlog,2026-04-01T05:44:27+00:00
320,https://github.com/digital-land/planning-application-data-specification/issues/320,Improvement,,9e2d80,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Improvement,2026-04-01T05:44:27+00:00
318,https://github.com/digital-land/planning-application-data-specification/issues/318,codelist/enum,,21D6D8,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/codelist/enum,2026-04-01T05:44:27+00:00
318,https://github.com/digital-land/planning-application-data-specification/issues/318,document,,591603,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/document,2026-04-01T05:44:27+00:00
318,https://github.com/digital-land/planning-application-data-specification/issues/318,Implementation,,5fc86a,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Implementation,2026-04-01T05:44:27+00:00
318,https://github.com/digital-land/planning-application-data-specification/issues/318,Planning permission board,For all tickets on planning permission board,dc3bf6,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Planning%20permission%20board,2026-04-01T05:44:27+00:00
313,https://github.com/digital-land/planning-application-data-specification/issues/313,Backlog,Parked issues are active issues that are unlikely to be resolved for the initial draft,CD5005,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Backlog,2026-04-01T05:44:27+00:00
313,https://github.com/digital-land/planning-application-data-specification/issues/313,description of your proposal,,e4e669,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/description%20of%20your%20proposal,2026-04-01T05:44:27+00:00
313,https://github.com/digital-land/planning-application-data-specification/issues/313,Improvement,,9e2d80,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Improvement,2026-04-01T05:44:27+00:00
312,https://github.com/digital-land/planning-application-data-specification/issues/312,component:pre-application advice,Labelling the specific section (or component) this issue relates to,e4e669,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/component:pre-application%20advice,2026-04-01T05:44:27+00:00
312,https://github.com/digital-land/planning-application-data-specification/issues/312,component: checklist,,e4e669,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/component:%20checklist,2026-04-01T05:44:27+00:00
312,https://github.com/digital-land/planning-application-data-specification/issues/312,Backlog,Parked issues are active issues that are unlikely to be resolved for the initial draft,CD5005,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Backlog,2026-04-01T05:44:27+00:00
311,https://github.com/digital-land/planning-application-data-specification/issues/311,component:pre-application advice,Labelling the specific section (or component) this issue relates to,e4e669,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/component:pre-application%20advice,2026-04-01T05:44:27+00:00
311,https://github.com/digital-land/planning-application-data-specification/issues/311,suggestion,,93F01E,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/suggestion,2026-04-01T05:44:27+00:00
311,https://github.com/digital-land/planning-application-data-specification/issues/311,Backlog,Parked issues are active issues that are unlikely to be resolved for the initial draft,CD5005,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Backlog,2026-04-01T05:44:27+00:00
311,https://github.com/digital-land/planning-application-data-specification/issues/311,Policy,,D89782,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Policy,2026-04-01T05:44:27+00:00
311,https://github.com/digital-land/planning-application-data-specification/issues/311,model,,1A61A6,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/model,2026-04-01T05:44:27+00:00
310,https://github.com/digital-land/planning-application-data-specification/issues/310,community help wanted,Extra attention from the community is needed,008672,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/community%20help%20wanted,2026-04-01T05:44:27+00:00
310,https://github.com/digital-land/planning-application-data-specification/issues/310,component:applicant name and address,,e4e669,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/component:applicant%20name%20and%20address,2026-04-01T05:44:27+00:00
310,https://github.com/digital-land/planning-application-data-specification/issues/310,component:agent name and address,,e4e669,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/component:agent%20name%20and%20address,2026-04-01T05:44:27+00:00
310,https://github.com/digital-land/planning-application-data-specification/issues/310,component: agent contact details,,e4e669,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/component:%20agent%20contact%20details,2026-04-01T05:44:27+00:00
310,https://github.com/digital-land/planning-application-data-specification/issues/310,component: applicant contact details,,e4e669,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/component:%20applicant%20contact%20details,2026-04-01T05:44:27+00:00
310,https://github.com/digital-land/planning-application-data-specification/issues/310,Backlog,Parked issues are active issues that are unlikely to be resolved for the initial draft,CD5005,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Backlog,2026-04-01T05:44:27+00:00
309,https://github.com/digital-land/planning-application-data-specification/issues/309,component: checklist,,e4e669,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/component:%20checklist,2026-04-01T05:44:27+00:00
309,https://github.com/digital-land/planning-application-data-specification/issues/309,Backlog,Parked issues are active issues that are unlikely to be resolved for the initial draft,CD5005,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Backlog,2026-04-01T05:44:27+00:00
309,https://github.com/digital-land/planning-application-data-specification/issues/309,Policy,,D89782,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Policy,2026-04-01T05:44:27+00:00
309,https://github.com/digital-land/planning-application-data-specification/issues/309,Rationalisation,,2FD472,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Rationalisation,2026-04-01T05:44:27+00:00
307,https://github.com/digital-land/planning-application-data-specification/issues/307,community help wanted,Extra attention from the community is needed,008672,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/community%20help%20wanted,2026-04-01T05:44:27+00:00
307,https://github.com/digital-land/planning-application-data-specification/issues/307,address,,591603,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/address,2026-04-01T05:44:27+00:00
